Xpos,Ypos,CYR61,NGFR,LOXL2,GAPDH
4591.67523865186,341.36840054549,2,0,6,118
4594.40728621291,664.289921465969,1,1,11,273
4746.34366166558,603.662535333768,2,0,17,374
4683.65989515072,329.80996068152,0,0,2,155
4878.81380446723,675.694983522519,1,1,24,312
4961.57315480078,463.699869366427,0,0,1,135
5050.51985663082,765.178064516129,0,1,12,223
5040.56865091235,491.819024827999,0,0,4,114
5071.70984455959,611.308402793422,1,2,13,189
5230.52168230961,848.724723773316,1,1,4,299
5195.85672727273,623.940727272727,5,1,14,172
5298.16197643979,594.988219895288,4,0,15,216
5426.30475874648,746.224672525286,1,0,1,200
5413.7796931237,857.994317105512,0,0,13,73
5493.39922616954,639.009028022042,1,0,6,152
5523.9138051857,18.2859145059566,0,0,11,255
5534.94791218252,855.140766250538,0,0,1,158
5589.61355695318,600.113906359189,0,0,1,85
5897.10579302107,270.708386656429,9,8,18,357
5921.97340577638,797.547326279668,1,0,1,90
5589.19430693069,766.19595709571,0,0,6,137
5636.22898870212,908.051253788923,0,0,3,287
5662.12675116745,800.376250833889,0,0,3,93
5704.4358853922,696.554720526069,1,0,3,57
5744.93129294191,88.9294191130543,5,0,10,809
5762.30747922438,916.893074792244,0,0,0,312
5795.03295571576,327.24588053553,4,0,38,659
5794.85074626866,804.328602887203,4,0,0,218
5832.02573529412,561.397467320261,0,0,7,239
5815.94275210084,683.336397058824,0,0,0,165
5904.65149504255,274.373487391678,1,0,23,387
5895.22143734644,491.202702702703,0,0,1,119
5894.45438493231,123.761624484991,6,8,5,495
5967.9577512393,844.802839116719,1,1,2,248
5907.05607917059,606.927426955702,0,0,3,148
5979.00657894737,163.896531100478,1,0,3,281
6013.32826261009,91.7566052842274,7,4,7,153
6042.41356618578,192.163502910656,7,2,9,451
6143.31507802405,263.220753404234,4,2,19,421
6092.85992652931,773.47021242613,8,6,6,210
6210.59693658955,852.47118680377,4,9,8,223
6207.85153682583,982.651072878407,2,0,2,451
6230.0281048234,410.122040764654,10,1,17,630
6337.55025078952,308.806799182612,1,0,1,271
6334.16161616162,409.201323580634,0,0,36,233
6440.9640831758,474.433648393195,31,0,32,258
6470.09850230415,894.855414746544,0,0,0,110
6550.69282296651,568.346411483254,1,1,6,38
6568.05173150919,908.073108165883,0,0,2,86
6614.19008264463,839.224598930481,0,0,0,34
6682.3602189781,692.791788321168,0,1,8,92
6704.59197828709,449.364595898673,0,2,0,50
6753.8486090776,565.721229868228,0,0,5,27
6918.53373615307,479.816213494461,2,0,3,125
7030.42686530411,415.016744644176,2,1,4,106
7044.74888709025,903.399028733306,0,0,6,104
7022.36047717842,738.137966804979,0,0,5,64
7139.48910081744,441.893051771117,0,0,0,7
7185.58748014823,825.183827421916,1,2,6,89
7298.08291825374,437.634339290946,5,1,0,27
7372.7844616255,511.880633603621,7,1,5,126
7527.97462340672,418.47010428737,0,0,1,19
7531.86010912398,395.9760533495,0,1,0,12
7515.58835443038,492.444050632911,0,0,9,101
7531.04487427466,599.060735009671,12,0,2,143
7588.04645534041,740.198469706433,1,0,6,255
7618.416632359,512.057225195554,1,0,3,253
7632.84513858337,416.692476902772,0,0,3,145
14005.9889349931,739.625864453665,1,0,12,377
83.2216850828729,1518.92345764273,21,1,4,177
23.2034574468085,1818.90203900709,11,0,0,128
95.2542275723703,1416.58440813987,2,0,2,158
135.469241011984,1130.90252996005,0,0,1,52
155.271662763466,1819.44210252407,43,0,2,81
163.117064647641,1698.51339545719,1,0,9,54
218.333829826848,1490.62353379259,0,0,4,76
199.842190016103,1390.74154589372,0,0,7,109
269.057598232602,1630.3463784125,10,0,12,261
245.307462048322,1106.31173829378,2,0,9,171
241.510136073313,1808.32379894474,1,0,15,167
310.976176971072,1510.67612024957,0,0,3,49
354.900813434794,1831.3049068486,0,1,13,188
346.34746588694,1172.04580896686,0,0,3,119
383.732063492064,1676.87936507937,2,0,0,37
425.015189299479,990.299251870324,1,0,15,308
478.858970154149,2192.97687766481,0,0,8,134
438.840886860124,1111.39289207695,1,2,14,124
446.082242458736,1265.70830961867,0,0,2,84
447.363683798591,1790.70023480303,7,0,1,35
456.066713981547,1580.84031227821,1,0,0,23
519.707413432489,1638.19381826633,2,0,3,34
520.09931787176,1720.62291950887,0,0,2,51
595.293045239703,1274.22991222147,0,0,3,48
632.424770039422,1426.82194480946,0,0,3,70
654.181276297335,963.31556802244,0,1,7,100
710.111319868483,1093.16439643025,0,0,1,44
712.190028427728,1335.95779575771,1,0,10,103
734.221864951768,1594.32958199357,0,0,1,25
788.414186193794,1826.81887270424,3,0,0,51
821.782222222222,1301.24102564103,0,0,0,9
873.843535338116,1204.20241184552,1,0,14,149
