Xpos,Ypos,NGFR,AXL,LOXL2,GAPDH
24503.7535406831,1306.58469869481,0,0,0,76
24453.0052434457,1842.60224719101,0,0,0,28
24632.0283845156,1538.77654628028,1,0,0,95
24498.380474086,1786.06709521896,0,0,0,20
24553.5362836373,1656.17191684734,0,0,0,51
24611.1577971295,1879.69303338171,0,0,0,63
24580.6606922126,1156.8923053152,0,0,0,57
24651.3334758901,1371.62161873196,1,1,0,43
24564.6153187848,2324.03294822422,0,0,0,134
24686.3818320944,2212.87975513773,0,0,0,170
24654.989863684,1984.82943026914,0,0,0,124
24674.2723387723,1727.27622377622,0,0,0,58
24703.433074608,1232.43307460795,0,0,0,13
24688.3953809031,1087.29713891761,0,0,0,96
24733.7208313651,1441.04818138876,10,3,0,45
24808.4148023698,1852.05464674153,0,0,0,125
24809.3976524987,1592.94344655878,1,1,0,127
24823.9745470233,1437.29767040552,1,0,0,62
24882.1903816656,1230.83885229631,0,0,0,48
24922.3310929281,2154.9580654588,1,0,0,269
24925.300155521,1575.77049544546,3,0,0,90
24918.1613555893,1316.22053616591,0,0,0,14
24949.2342389871,1668.85254550251,0,0,0,89
25013.391884058,1856.23385507246,1,0,0,41
24971.0497652582,2330.94366197183,2,0,0,396
24957.256454389,1084.17246127367,0,2,0,35
24984.0544584081,1942.38839018552,1,0,0,91
24990.5971143174,1377.73784683685,3,5,0,75
25048.3266555948,1585.62341706456,0,0,0,74
25108.3186644644,1463.82302973101,1,0,0,165
25049.7096399535,1268.86782810685,0,0,0,60
25039.4583921016,2280.31593794076,0,0,0,151
25079.7048634244,1134.72163002443,0,0,0,44
25083.7987997473,1726.6187618446,0,0,0,47
25134.2160012008,1927.32107475233,0,0,0,137
25147.1338831615,2186.08439862543,2,1,0,411
25170.4453333333,1247.04876190476,0,0,0,57
25275.7744068456,1359.3693504473,0,1,0,80
25185.5456349206,1830.73941798942,0,0,0,26
25243.7863623866,1146.05013289341,0,0,0,102
25242.9849639134,2060.69246190858,0,0,0,304
25265.6588785047,1679.92800817757,1,1,0,62
25247.988445985,1254.23570190641,0,1,0,18
25278.0879979172,1528.86539963551,1,0,0,59
25282.7992031873,1910.91527224436,0,0,0,44
25334.1795891319,1996.70841616965,0,0,0,126
25348.7969212552,1838.19863824748,0,0,0,40
25357.3342007435,1675.91412639405,0,0,0,57
25363.1350022351,1503.43853375056,0,0,0,19
25742.140060241,1935.06927710843,0,0,0,53
25757.8421317969,2138.00518545193,0,1,0,205
25755.3419811321,2306.55817610063,0,0,0,278
25407.4082702388,2251.22306348282,0,0,0,198
25429.5359355638,2175.27447335812,0,0,0,132
25658.1511315689,2304.89892596855,0,0,0,294
25759.4334327699,2142.92796376091,4,0,0,174
25988.1914980031,2043.91565694172,1,1,0,318
25907.7640243902,2198.2656504065,0,0,0,224
25945.5622866894,1930.78071672355,0,0,0,74
26008.3074306646,2187.46755625327,0,1,0,157
26173.0569461827,1929.84418022528,0,0,0,118
26163.0317124736,2169.48484848485,0,0,0,78
26269.0538903061,2012.30484693878,0,0,0,278
26281.2761495705,2159.76755937342,0,0,0,128
26551.3687798228,1929.58418541241,0,0,0,27
26538.8358326756,2057.31333859511,0,0,0,140
26637.6082568807,2269.14233289646,1,0,0,186
26607.1826115061,2113.14382676147,0,0,0,128
26661.8348294434,1971.47097546379,0,0,0,89
26687.0529307282,2060.93285968028,0,0,0,121
26899.5636862566,2060.4939400869,0,0,0,241
27020.6023153942,2035.12484355444,0,0,0,67
27122.2722017867,2086.09668943773,0,0,0,199
27140.847489784,2209.91389375365,1,0,0,213
27311.3097199341,1325.76688632619,0,0,0,33
