Xpos,Ypos,TMS,C1S,VCL,GAPDH
12846.8478053435,206.172709923664,57,1,9,349
12899.2879241517,144.144710578842,33,2,2,364
12950.6881602914,783.536976320583,76,0,3,387
12951.4191151638,542.155015197568,44,0,4,313
12949.9193058568,75.314967462039,47,0,2,342
12995.787037037,906.768187830688,75,5,7,488
13110.6759259259,88.7424026590693,190,3,7,613
13099.6535433071,931.741469816273,54,3,3,394
13151.3804444444,784.649777777778,128,1,0,496
13197.5366820886,712.925644415069,261,7,9,702
13213.7330141779,887.326643343767,62,0,4,278
13243.5388888889,360.061111111111,124,4,10,487
13270.1146001074,232.077026301664,178,1,1,488
13255.4648795385,62.2633186291144,36,2,1,236
13303.9230129005,877.336246358718,93,1,8,482
13343.026282323,124.674014412887,114,0,6,503
13424.775011526,267.005993545413,120,1,4,360
13450.5039612676,899.104313380282,113,0,5,401
13485.328003762,800.943334117094,174,6,10,668
13546.9692423106,291.684421105276,402,3,17,1327
13643.0536605657,842.953410981697,170,1,15,458
13651.7870795107,727.160168195719,323,9,70,1084
13695.7308690013,924.674448767834,130,0,5,433
13765.954887218,557.123523093448,173,4,3,556
13816.0816326531,379.066836734694,85,3,3,341
13817.4417266187,61.0870503597122,40,2,4,365
13831.1252900232,1326.41144624903,18,0,1,233
13896.9690295939,64.9401238816242,59,1,3,233
13891.6252747253,452.383516483516,87,1,3,336
13894.3130958354,591.901655795284,66,5,3,288
13895.760786802,145.881345177665,88,2,12,382
14070.9204844655,794.51290152712,199,1,6,656
14116.3603145236,427.913043478261,171,2,2,420
14226.8664725458,491.068219633943,108,2,5,383
14301.6615112682,250.70923552806,319,8,6,903
14444.2414467253,447.820136852395,184,3,6,533
14582.619047619,725.167946748592,190,4,9,476
14869.9030231645,551.361209265803,99,2,4,358
15090.897411953,411.583778014941,669,4,68,1046
15523.1764057332,230.79217199559,54,0,7,545
15650.2835227273,90.4369318181818,51,0,7,445
15655.518258945,648.889339727038,197,2,2,921
15709.8485971413,517.100052938063,294,2,6,1014
15846.7696041822,724.482449589246,138,0,11,633
15860.7938660547,625.047360734404,180,0,11,648
16086.5295881647,345.003398640544,246,2,15,605
15755.7818705036,123.789064748201,313,0,30,637
15853.4889902027,677.645649432535,48,0,9,278
16146.4771428571,419.195170068027,357,0,12,936
16094.3467682477,235.875890882281,344,3,9,770
16115.0695111613,136.128849957615,100,6,3,416
16237.0307438924,126.185286851496,302,4,17,711
16253.9546061415,403.348464619493,412,4,26,1069
16332.4516862955,852.188302997859,201,3,17,831
16586.3480075901,524.112713472486,89,2,8,467
16627.571942446,247.238309352518,278,4,20,738
16642.7023928215,157.793120638086,151,1,11,375
16798.9835837858,139.76019699457,479,2,16,908
16782.271761248,617.332127515261,121,1,10,469
17012.8950720751,141.958095876634,154,2,12,380
17383.0798600064,560.881959910913,135,5,9,546
17481.2120227457,701.903330625508,93,1,6,349
17488.0840777719,69.6353126642144,138,7,8,716
17540.3689516129,653.471774193548,107,3,12,451
17726.0164818699,525.24423134552,278,5,20,771
17886.8978211871,340.477836213373,248,2,20,547
17896.0818692902,853.429023190443,145,5,12,571
17958.6153606965,480.62157960199,221,0,12,613
18107.2417261518,519.658663205711,223,5,22,597
18423.8958420832,576.963460730785,205,1,9,519
18572.2116212339,619.664275466284,505,5,11,1272
18594.7095057034,853.05855513308,202,3,10,856
18670.3398829431,35.9506688963211,203,0,2,643
18729.7500871384,904.324503311258,273,6,16,768
18936.6165008717,539.867346938776,484,27,76,1819
18879.1670084969,196.062115440961,327,2,4,1081
19019.7908447142,186.533131006576,379,4,10,1321
19083.6774066798,632.093516699411,768,22,60,2060
19296.7880400751,866.206324358172,147,6,12,824
19315.236785329,195.373786407767,362,8,9,1026
19632.3792464484,458.565472513897,260,3,27,742
19650.0998370008,640.523227383863,206,7,8,604
19818.2484619025,765.435399905348,141,2,8,582
19886.9807085233,917.627499123115,185,8,20,658
19892.2463170301,278.664407778433,150,4,11,610
20040.131524624,490.658212916544,348,18,33,902
20068.6914020692,29.0792008562255,135,7,15,1061
20160.4869029276,771.300462249615,310,6,15,1005
20345.0136414254,487.353563474388,201,14,18,805
20662.4195524774,745.427277570591,163,1,18,703
20678.2188697318,82.3388409961686,134,4,5,738
20767.6612193589,634.120364550597,228,5,18,640
20809.0868196131,871.827710301395,287,5,19,1093
20817.3858472998,72.415270018622,103,4,3,626
21127.2764491285,119.597486826105,162,7,12,719
21199.8507842306,632.663416701992,113,13,1,423
21238.538569425,443.986325385694,213,12,5,647
21275.3102466793,587.177419354839,94,3,6,354
21296.5012406948,677.810421836228,109,4,4,441
21314.1357873211,507.062576687117,109,3,8,336
21381.7361466326,658.781756180733,82,1,3,346
21392.6301761066,517.514040932889,181,4,12,516
22296.2713297463,84.1548808608762,44,2,4,49
22352.2774114774,642.300366300366,344,1,3,30
22483.897373877,397.368348306842,290,5,13,190
22727.637804878,350.013414634146,283,5,16,296
22801.8786908573,191.250444681608,94,7,5,23
22892.6528286528,311.448514448514,136,1,2,174
22910.60703667,743.303270564916,653,0,25,275
23000.2357212004,672.686488729083,220,4,11,55
23026.0111234705,285.861512791991,24,3,0,69
23036.8284639861,813.701475267573,280,1,10,185
23116.7723827874,687.9591522158,621,3,14,1008
23108.8716490658,312.013809910642,121,34,2,341
23122.5337677725,244.122037914692,127,53,1,335
23175.7146238166,831.693323368211,481,2,24,946
23199.5475444096,89.413096482062,144,2,2,470
23282.5005186722,108.354771784232,195,4,5,624
23315.4809160305,237.82883147387,144,7,4,335
23373.8848567531,474.553342428377,608,3,11,1437
23458.2745266781,304.640275387263,277,18,19,656
23565.6843528922,913.342072409488,478,7,10,1148
23639.9309631302,483.196012039127,277,16,16,959
23756.9621598639,57.3397108843537,43,2,3,239
23795.3326666667,540.776,311,9,14,926
23808.2927225471,145.987004548408,353,14,11,1216
23874.7289812067,537.818496538081,301,9,6,687
24014.3995735608,497.762473347548,167,2,9,573
24088.2590361446,823.39859437751,219,5,14,730
24222.1889856784,241.488114572568,222,7,9,901
24201.4587033748,371.380994671403,79,2,9,323
24231.8927387767,904.800542332028,173,1,5,524
24231.9842983317,149.956820412169,249,11,13,859
24242.6863398382,35.007615421228,167,3,3,657
24259.8356527502,590.232935719019,90,5,14,516
24271.9096288327,340.285099515869,231,1,10,889
24417.4507606085,546.118494795837,143,2,6,509
24585.596503746,420.130574384588,240,2,7,743
24667.0973536797,152.918485609426,482,10,28,1769
24659.3288537549,869.801581027668,202,3,23,711
24668.7692806222,448.181140635126,213,1,11,686
24804.567232376,872.555483028721,288,7,17,821
24818.6822552448,511.93006993007,124,2,12,415
24947.2302683504,521.602012628256,461,4,13,740
24923.6962075848,87.8423153692615,345,6,15,1012
24951.5053941909,16.5302904564315,32,1,6,131
24975.6030058651,388.555718475073,337,3,24,806
25305.9276532138,905.771898355755,122,2,7,333
25305.7551190974,821.210614291684,131,0,12,436
25426.1640893471,903.673969072165,122,2,7,433
25499.1084526995,1325.78797418542,464,20,24,793
25543.6617210682,18.6246290801187,124,3,13,595
25858.8559602649,660.457899716178,758,6,31,2051
25942.4107432276,553.637416068534,790,4,28,2075
25959.7789284106,169.39216569113,490,2,13,1353
26219.4856502242,894.919282511211,80,3,10,527
26268.3596878181,161.20257889379,220,2,13,529
26298.668202765,234.376497695853,226,7,33,655
26336.9237583043,477.388168301171,288,4,13,899
26361.3454356846,55.954356846473,268,7,27,741
26451.1478904847,410.699281867145,239,5,15,693
26568.9162835713,588.714251149286,493,2,24,1308
26913.8101021253,413.764559757107,206,2,19,653
26978.8623080733,887.774145616642,136,6,23,706
26984.9655608215,182.242654028436,450,24,35,1336
27052.6582381729,481.47417074497,114,4,21,503
27147.3346560847,949.806878306878,143,2,5,573
27247.7915642916,361.186322686323,283,2,8,802
27295.0727931489,91.0233860342556,358,3,7,1125
27329.2467746363,385.299203952786,286,4,9,931
