Xpos,Ypos,TXNRD1,EGFR,LOXL2,GAPDH
4645.63801388147,291.532835024026,18,0,1,202
4658.58205015398,361.401671799384,21,0,0,262
4686.53002962564,873.639913816321,20,0,7,327
4762.88785504407,346.339373163565,32,0,1,358
4815.89743589744,393.20032051282,23,0,0,330
4844.87216981132,521.834433962264,20,2,1,300
4835.93773349938,98.8605230386052,21,0,0,316
4840.29261363636,17.9808238636364,18,1,0,170
4907.46153846154,685.810429271103,31,0,4,221
4895.60363153233,937.461027457927,22,1,1,308
4975.30950679057,436.93924231594,49,1,1,490
4986.53249590388,613.481157837247,16,2,3,233
5019.72456223379,77.380028395646,58,0,10,336
5067.69461410328,425.313159355913,14,2,4,331
5101.03798185941,708.540816326531,17,0,10,142
5154.01408450704,659.191705790297,37,0,1,323
5163.55637030247,846.299725022915,21,0,1,411
5191.98577777778,204.884,34,0,2,412
5251.17613636364,564.597902097902,28,0,3,278
5288.14384191176,291.432904411765,18,0,5,321
5331.58120586638,105.405214557306,34,1,10,614
5340.35617416131,555.306209850107,38,7,9,276
5377.61205915813,408.179180887372,47,7,5,539
5408.22634367903,528.51097653293,16,1,5,174
5440.8543786156,322.291242768801,53,5,18,427
5490.31712230216,685.219856115108,72,0,9,435
5474.57250144425,489.417677642981,8,2,1,109
5609.42380708055,394.077219086711,4,0,1,66
5581.33830104322,393.189269746647,9,0,2,178
5592.52476083286,221.711029825549,16,2,1,272
5649.10785147392,646.284863945578,27,1,0,303
5627.85128617363,100.534163987138,31,0,4,366
5642.94321254732,395.37912385073,8,1,0,171
5692.12432031636,322.355412753337,16,0,4,266
5826.87278106509,18.646449704142,27,0,1,328
5804.74887218045,858.811027568922,5,0,0,228
5844.09123222749,99.8542654028436,20,0,1,198
5886.30827423168,845.79243498818,4,0,0,190
5936.61135291984,618.730685527748,55,0,0,375
6008.05395518976,441.685185185185,57,0,7,587
6005.38396156689,830.175905395418,7,0,0,193
6031.08627773213,748.676253081348,13,0,1,183
6082.24727272727,475.485090909091,34,0,1,362
6090.523657289,727.109335038363,6,0,0,119
6131.10830804249,202.321130500759,78,1,8,526
6131.02099447514,662.377900552486,5,0,0,230
6171.88733599544,468.217056474615,27,1,2,358
6191.59047078843,853.456608054453,16,0,1,225
6212.59715380405,142.571975916803,58,3,1,435
6285.94686985173,774.247528830313,21,4,0,336
6339.44289807614,516.768726975031,38,0,0,342
6341.20196238757,369.388389206868,34,1,2,285
6360.91245634459,628.18509895227,60,2,4,422
6374.28341314758,913.769699608185,13,0,0,246
6392.43752860412,418.467734553776,31,2,0,183
6405.64810281518,287.737454100367,51,3,0,444
6427.49136577708,135.713762428048,28,1,4,477
6443.4905130007,881.929725931131,7,0,1,326
6484.00102014792,663.749808722265,23,1,1,504
6569.60578512397,1252.88099173554,11,0,2,126
6531.95513256288,438.243711760707,29,0,0,293
6559.66622399292,190.988047808765,22,0,0,382
6574.88765088208,357.701949860724,36,0,0,338
6643.76550475328,881.357175192395,1,0,0,206
6676.7783059637,408.394122731201,9,0,0,261
6685.81706244503,150.561125769569,58,1,4,835
6730.0879501385,521.515235457064,24,0,0,320
6755.51701244813,887.924481327801,19,0,3,278
6788.52934722984,582.166209544706,14,0,1,282
6889.54455958549,1355.35336787565,19,1,1,263
6902.50321089134,66.4111225276137,96,4,3,844
6912.68654173765,410.96933560477,25,1,1,368
6978.5003866976,586.298917246713,31,1,0,266
6987.27904715605,794.302382109869,17,0,0,147
6993.17399617591,903.725143403442,50,0,0,530
7029.97086121304,472.166414849989,56,2,2,521
