Xpos,Ypos,EGFR,C1S,VCL,GAPDH
23926.507434281,194.023432853574,15,230,28,457
24260.396872762,433.924086894247,0,5,2,52
24211.008087005,428.529280535416,0,6,2,53
24304.0160602258,439.041907151819,0,10,2,88
24427.7237410072,772.10035971223,0,28,0,72
25045.4010366935,963.454235438549,0,13,4,131
25427.2469196649,747.994578610153,0,3,2,33
25490.0414293112,584.203133091662,3,88,11,341
25565.1979558903,491.764389456697,0,53,14,174
25616.4326323988,559.703271028037,14,93,31,307
26634.3109673537,999.837671129833,1,16,5,129
26881.5234729019,916.758201921334,1,20,5,49
26986.230421261,478.293751767034,7,20,8,22
28051.9029923452,654.205984690327,4,15,58,436
28200.6236859396,727.380256241787,12,17,59,283
28640.1184584178,948.927789046653,3,71,18,306
28889.1750739402,418.428565560302,2,6,24,392
28758.2424516,201.160898786237,29,76,76,1077
28764.46623646,361.025120995621,1,9,18,323
28855.9468035464,300.155156322912,8,11,63,377
28927.1051477378,437.863688827331,6,39,77,1764
28904.7296637744,178.629609544469,18,77,103,2061
29935.5484980509,94.0541160284338,23,52,22,183
30980.7145200984,715.773858353842,0,17,0,104
31265.9758259468,852.779411764706,0,35,2,151
31365.7475463468,896.599236641221,1,17,0,64
31916.2974828375,970.610983981693,0,30,0,16
32012.7052168448,1128.18227529855,1,26,1,17
32091.4720364742,1149.24498480243,1,30,10,49
33149.5273540242,946.188584955287,9,131,70,713
33279.7255840674,897.605898123324,7,112,87,680
33461.0639130435,714.576739130435,10,118,94,1046
33602.1099539013,360.060099026806,6,190,37,956
33596.3663905841,674.941804707934,7,94,69,684
33640.2847821021,965.05220228385,7,72,75,559
33663.3075483468,416.151278852152,4,81,21,522
33695.9766368618,699.852033458321,5,85,36,426
33769.0775931929,588.156401944895,12,80,30,420
33768.0164609053,929.406974225688,12,53,81,706
33795.9246344207,148.809898762655,6,136,49,762
33786.9592686878,438.121731080768,5,51,23,362
33836.1743619157,691.83854316031,8,80,12,462
33835.2697727273,278.949772727273,12,100,111,666
33884.5032778618,413.706001008573,5,56,19,338
33916.3413530253,884.962601238685,19,117,45,763
33953.7223355431,97.2496175420704,2,147,14,651
33952.5522026432,513.951101321586,3,116,13,686
33961.9997380828,380.600314300681,6,54,19,414
33985.5980861244,228.915470494418,2,67,10,503
34049.938866012,312.259106746912,4,67,7,416
34055.2796173657,721.813097866078,6,103,59,862
34064.830351226,153.385685884692,6,84,13,578
34141.2358695652,382.304347826087,3,103,5,424
34188.941540365,547.57933807609,6,97,35,758
34211.9318568995,124.923493882608,13,138,12,590
34209.6057720916,665.614102945552,9,38,23,436
34221.8998732573,383.48257287706,5,75,18,580
34503.1311566645,1295.76254521844,1,41,8,237
34246.1444444444,869.378571428571,2,97,23,525
34273.2938005391,284.636118598383,10,81,14,460
34277.5171693043,738.618094953718,3,46,28,276
34334.8921052632,81.7664473684211,2,125,13,674
34355.9509362408,237.904716757525,3,125,15,449
34368.7338394295,700.022084195997,4,102,7,348
34390.6399474376,869.775032851511,6,69,12,361
34477.9542124542,937.965986394558,2,54,9,407
34559.9986434547,621.411485417138,12,161,22,611
34577.1660454715,190.334327245621,6,288,29,827
34608.906212521,869.005996641881,5,90,15,589
34756.0873219706,972.853724025216,9,158,46,711
34739.4100020881,722.411568177072,7,283,11,809
34798.0315085045,428.07063853518,15,411,10,1095
34748.5572994519,58.5602889885401,5,151,8,433
34840.770929712,163.934487389942,8,182,20,707
34866.8259875939,883.229187071499,4,69,16,377
34966.3181535592,320.916847995026,5,142,14,687
34966.5790455878,587.988003199147,8,144,17,625
34984.5412138882,830.078452160085,3,38,12,214
34978.2159357215,719.047204553063,2,44,19,417
34985.6773120426,52.7984031936128,3,49,34,402
35038.7161966739,634.862617498192,2,23,10,236
35043.7924710425,233.922458172458,7,102,6,366
35046.0193548387,132.012903225806,4,54,8,228
35054.1868344627,879.676347208777,2,53,3,219
35117.2917085427,544.40527638191,2,139,21,579
