Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH
6007.13984962406,33.9007518796992,2,67,12,487
6052.98323380799,205.559485530547,21,50,84,858
6195.02629063098,15.0697896749522,0,22,18,270
6579.57809330629,916.047667342799,2,27,0,261
6720.22374429224,537.25651356433,0,14,30,304
7137.15773698014,702.225177969277,0,30,31,251
7593.12007222389,119.385495034607,3,8,24,560
7999.26746242263,756.988063660477,1,11,47,391
8067.5837037037,171.736296296296,3,6,35,562
8171.63798219585,352.856487725924,3,11,30,589
8190.81388712746,614.71686746988,7,21,49,389
8274.54046871225,482.039381493114,6,32,50,462
8315.26857330704,644.795529257068,3,24,28,190
8404.18894009217,304.792626728111,4,60,17,613
8459.94693877551,625.298701298701,2,65,5,348
8518.81831255992,493.524448705657,1,51,6,387
8562.28903486609,546.144012127337,6,20,0,152
8602.72701754386,24.0736842105263,0,9,7,120
8677.53382634894,686.797863599014,1,43,34,348
8698.29031433683,398.088934321492,4,28,27,450
8779.33042030795,217.653349979193,3,32,25,227
8842.59782016349,927.731335149864,3,40,1,185
8921.47515400411,631.954004106776,1,11,11,282
9097.34937545922,425.633357825129,6,30,21,332
9297.01626626627,338.763513513513,2,35,22,339
9304.26980108499,111.058227848101,2,18,16,218
9472.62813429664,128.297917552061,2,13,3,269
9553.61810847154,330.852084267145,0,14,8,226
9607.40199809705,386.612749762131,2,16,19,140
9692.6568946797,894.813246471227,1,8,12,83
9751.84301780694,208.740862230553,1,14,9,196
9850.47039106145,97.8262569832402,0,0,3,229
10071.9679023508,577.461121157324,0,2,4,99
10106.1905819636,314.377609951133,4,13,4,197
10118.13170441,120.368295589988,0,0,0,97
10136.4164830322,447.105773468488,0,4,10,140
10160.8328192474,941.046884639112,0,19,3,192
10201.244888687,846.946388005452,4,7,2,126
10296.8494423792,179.364002478315,13,27,18,304
10704.5382875606,791.36704361874,6,48,22,323
10726.1579439252,587.543925233645,5,66,0,374
10749.6323407775,470.904052936311,2,68,0,365
10762.9694061188,63.8230353929214,2,41,16,285
11017.517136791,662.909008189263,8,77,39,431
11341.3506532067,899.145783847981,2,14,22,237
11503.3116478379,627.634203350214,11,64,28,320
11776.0190095048,930.955477738869,5,43,32,589
11910.2962538226,601.009556574924,2,33,19,225
12044.3490091689,883.05471753919,1,6,25,252
12141.6281891724,388.92190416926,14,153,151,737
12601.5147692308,78.0575384615385,6,58,29,753
12702.097874225,388.830380868025,10,66,6,492
12759.1982836495,590.654019873532,2,65,2,376
13085.7291967292,278.122655122655,0,44,24,214
13176.0169162507,461.450915141431,18,63,38,453
13181.902696793,117.508746355685,6,55,1,427
13193.9378453039,282.508287292818,19,59,33,268
13239.1953175112,683.361128928801,1,26,28,232
13326.2834091849,182.915597848573,0,42,4,262
13423.2153284672,99.7704785077048,3,52,11,284
13660.976309795,477.225968109339,3,59,3,336
13782.2741096439,841.691076430572,2,84,1,354
13817.7817258883,660.969081679742,1,21,0,242
13943.0847975554,538.249427043545,2,41,0,252
14080.3283188176,703.462127210346,5,35,24,231
14330.5683453237,380.210764721556,13,104,47,557
14414.8401660612,140.238713025428,3,93,65,537
14552.3513513514,82.3130630630631,0,43,10,294
14665.6332225914,746.213289036545,5,82,31,483
14716.3719466129,432.150591790481,12,67,54,531
14751.6027689031,54.6251331203408,1,7,7,146
14908.4083269672,695.672650878533,0,18,1,233
14997.4750908147,801.16658017644,6,19,22,188
14993.4765795207,677.950435729848,0,28,4,278
15060.5537725225,507.255067567568,2,101,4,471
15186.5436726272,325.178817056396,5,89,29,327
15335.2098727103,155.225085377212,2,77,23,557
15455.4136566056,132.811479465611,4,54,11,295
15545.0374950923,533.2822928936,7,80,59,672
16289.2980979108,775.644839413782,3,48,65,309
16364.7173194903,289.764511562058,4,37,27,284
16562.3683678626,694.182415361294,4,35,16,262
16678.7885816236,234.133363068689,6,26,24,214
16735.2913156189,580.971484121841,2,23,14,231
16875.9427947598,396.372052401747,3,23,25,215
16918.65232358,279.713425129088,0,21,10,120
17090.971113645,729.28202204485,4,25,17,267
17168.0984382395,159.546142924752,2,45,23,273
17321.3279965383,753.257031588057,11,46,2,334
17327.0745140389,921.536717062635,2,16,13,229
17364.5575396825,54.4960317460317,2,31,26,290
17798.2238927265,803.249085737505,5,36,4,187
18013.2814748201,868.681205035971,11,32,6,244
18171.0337598693,91.6509665123877,7,28,41,761
18684.1063770537,234.824004455583,7,63,39,319
18830.5537109375,234.708984375,1,34,25,345
19065.2464745555,118.359901900674,2,43,8,312
19157.6859172329,467.064546016059,14,101,35,410
19318.1928251121,670.637331838565,4,20,8,124
19349.4390563565,357.995631280035,3,38,5,315
19370.3516427105,158.098049281314,1,18,3,244
19506.7881916865,823.101138469685,1,22,13,165
19715.0941309895,805.013325772611,3,20,27,235
20068.765394402,933.110941475827,2,28,4,344
20109.6604519774,34.8180790960452,3,17,4,201
20221.9685384309,366.549980087614,1,22,7,220
20634.4030567686,54.6327510917031,4,46,15,186
20725.8982318271,137.443614931238,2,40,44,309
20795.3166481275,676.618835743419,2,46,20,199
20794.5613010842,152.973728106756,5,35,41,293
20826.807751938,247.815503875969,1,49,17,277
21058.1561789234,254.607657316149,7,69,12,367
21132.4662992794,707.088596863078,3,75,2,277
21168.0232848233,493.036174636175,2,30,11,362
21366.5206202573,567.901022764764,2,132,2,602
21419.9365168539,648.184831460674,3,76,1,451
21534.866962306,47.9543237250554,1,31,4,175
21610.0557275542,885.913550845439,6,28,43,319
21715.5085870414,78.4996096799375,3,36,2,161
21823.7311220889,429.987297106563,8,64,18,298
21853.518076645,887.650397686189,2,53,2,337
21983.2762026123,222.855686524371,3,14,31,402
22033.7067204301,860.592741935484,8,55,39,425
22121.8655160014,413.380438691118,0,5,13,142
22156.0524578136,519.596845194424,4,47,4,349
22224.0619413843,753.043857825816,7,57,25,486
22208.5237608585,75.6632600919775,3,32,27,225
22284.1049403748,285.792163543441,6,61,23,283
22327.7542966264,514.15595162317,5,51,6,231
22423.1122414378,311.910478128179,2,71,3,517
22406.4908921065,35.4096216721158,1,42,16,263
22432.3299804415,613.923721709975,8,28,31,202
22587.8713910761,660.421072365954,7,40,11,344
22737.7104509664,252.330350751611,3,112,21,803
22757.4671470962,474.509114031369,4,40,9,240
22848.2729368373,801.825726141079,2,33,7,186
22861.1015248796,589.073836276084,4,81,19,315
23340.4803198032,796.490467404674,9,13,27,186
23454.2161674486,49.5229159148322,11,45,23,349
23469.9612711023,608.22591857001,2,59,35,227
23485.5485611511,678.619304556355,1,32,20,199
23694.2708171206,453.615175097276,5,30,9,268
23722.4817160956,200.126403685574,0,47,34,347
23708.9173053651,97.6212182331585,5,38,22,474
23857.1313649979,856.779632006846,6,30,3,309
23871.2806041335,718.798092209857,7,42,21,333
23954.5235760091,50.5646925688419,5,50,31,433
24011.3520871143,776.843920145191,1,48,0,218
24012.1505609844,435.633731451321,8,94,20,474
24021.2108985025,898.128951747088,3,17,0,201
24135.5734870317,254.731268011527,4,90,41,590
24174.2716094033,763.204701627486,5,27,5,156
24274.2174248265,45.1333847340015,5,110,48,874
24340.3378746594,865.966063908843,2,46,36,388
24536.6952160494,649.24537037037,0,38,16,223
24587.4322550399,488.78199718706,1,42,22,149
24671.9312597642,880.209629314018,1,70,52,476
24680.6241452488,265.596085828814,6,106,69,720
24763.4275184275,684.12325962326,3,43,16,278
24856.3095238095,498.635044642857,6,139,4,737
24929.9228314476,860.675659994198,3,28,56,411
24999.6079928154,75.1059721598563,7,30,19,317
25282.430713128,63.8849270664506,2,17,25,236
25363.8031156778,479.517069937024,1,56,7,529
25439.1802841918,691.731793960924,5,39,0,202
25451.8784129693,853.639078498294,2,37,0,253
25461.5251897861,313.204278812974,1,86,32,605
25723.670074983,660.288002726653,1,15,22,211
25969.4474272931,84.4456375838926,1,65,2,385
26014.614187643,603.140961098398,0,44,1,267
26040.1090440756,322.078420148827,12,103,29,361
26069.9074602528,560.200163065634,1,72,4,283
26110.6192504259,52.2717206132879,1,60,0,365
26129.3463787674,783.27485380117,1,2,21,122
26256.3893678161,901.685344827586,0,9,6,69
26443.7793657883,629.859312192943,3,16,26,170
26489.9398451459,310.868076235855,3,100,40,317
26580.7747989276,74.1371760500447,4,36,3,419
26689.4285714286,489.429824561404,0,33,3,247
26851.0793067227,806.53912815126,0,13,17,251
26907.3604004449,155.146273637375,0,84,9,325
26953.8011214953,612.737570093458,2,23,0,194
27225.0753549327,644.29959956316,2,8,23,187
27307.1655502392,501.432216905901,7,32,24,325
27456.9329794293,75.9973457199735,3,51,37,317
27504.29002849,699.473504273504,6,24,54,394
27678.8177570093,917.3,3,45,1,335
27746.3988355167,808.6147501213,0,16,0,170
27902.1918786256,752.581883087907,1,19,12,214
27917.3579290664,896.637178964533,0,14,24,240
27951.8846549949,56.4299691040165,1,22,9,166
27980.8913207547,535.859245283019,2,55,2,265
28066.2174636175,216.241164241164,3,70,7,329
28218.0185029437,467.412531539108,2,31,4,163
28317.6139020537,754.054344391785,9,17,25,329
28381.7686537702,247.082116067904,11,42,10,207
28825.3740755158,690.244453094589,0,21,1,179
28852.279925187,323.752493765586,6,72,26,306
28970.8948038716,941.895822720326,4,4,33,128
28961.1256416524,414.227572720606,3,74,25,364
28981.737745098,269.13112745098,3,36,14,206
29345.449057715,262.643992932862,2,73,52,395
29416.3264225849,557.84649316277,4,38,18,260
29486.3117095063,685.292533659731,6,22,27,243
29487.5747493163,462.752051048314,4,38,26,244
29526.9193473193,830.5668997669,4,22,0,183
29554.1769134253,91.3946047678795,2,26,9,231
29587.6539068666,410.012628255722,5,81,13,386
29626.7551430005,172.457099849473,2,69,7,308
29744.4998166483,400.021635496883,4,87,27,385
29744.4525684289,829.527184101987,3,19,4,163
29809.378552593,216.677702900674,3,40,23,226
30021.4071588367,680.991424310216,4,33,20,230
30075.9184100418,933.571827057183,4,33,27,266
30370.0471134705,34.5016589250166,1,29,1,287
30505.9324404762,642.435714285714,0,34,48,287
30721.5543012845,698.16776956014,2,42,5,302
30844.9132189707,33.1876892028254,0,27,2,146
30941.2611501506,754.710311200344,3,73,66,504
30942.9619896762,59.7742843735336,1,36,2,247
31010.4265046296,125.891203703704,1,62,34,256
31059.9760391198,618.982885085575,5,99,83,885
31082.9515720997,135.875677629201,6,48,51,385
31182.6786443446,410.235606369947,2,90,14,498
31185.3272997033,155.422255192878,3,41,20,363
31227.3756613757,33.5620675620676,1,20,12,195
31368.0708516887,618.932452276065,9,60,19,404
31374.8031030661,257.021056520133,7,122,6,578
31431.7409675444,52.3214941824862,4,23,17,332
31634.7543372658,196.502081887578,7,117,21,818
31714.3174706649,393.785853976532,0,35,27,256
31965.2013682332,334.361094586556,5,35,47,699
32032.4179834462,103.763355906697,1,30,8,296
32176.0828290469,145.834720121029,2,6,5,245
32534.5702746365,227.407646742057,2,83,34,402
32563.8407114624,681.298814229249,11,30,14,219
32791.5040413838,830.153572583253,7,26,15,227
32949.1151631478,303.037290924047,9,98,58,543
33205.41599073,937.583429895713,0,14,3,285
33275.4028641417,761.595816845675,6,107,30,355
33290.4272281276,371.322158626329,5,37,16,217
33317.6858974359,293.86858974359,1,19,24,154
33418.1464542652,326.255909558068,1,33,21,182
33706.0475970425,843.473197781885,2,21,0,172
33820.265437788,855.499539170507,0,25,2,207
34146.144375,193.3284375,0,32,19,270
34298.4308797127,425.464991023339,3,48,2,15
34318.7987161852,323.217790004585,2,37,0,6
34326.6841666667,65.9758333333333,7,19,0,1
34392.3490514905,392.079132791328,0,10,0,1
34420.7329443447,508.915619389587,2,8,0,0
34460.5164113786,343.629102844639,0,4,0,0
34472.7241689128,225.354896675651,8,33,0,0
34579.1589184061,398.560246679317,4,55,1,4
34817.3413654618,533.415261044177,6,72,2,1
34811.3576512456,363.01512455516,9,45,0,9
34829.3870871764,894.115739363285,9,61,15,269
34917.1986401166,105.228266148616,0,11,0,0
34950.8620448179,658.067927170868,2,40,0,0
35012.7652596417,508.226237473429,1,19,0,0
35048.7150674936,372.466618022619,1,38,17,94
35228.5735672515,524.751578947368,6,43,35,222
35254.0780957475,661.031291789248,2,37,37,266
35241.4413424413,832.100683100683,0,19,17,180
35264.6957429048,168.297579298831,6,92,7,454
35333.9972125436,248.573867595819,10,64,31,367
35365.8510081173,772.980099502488,2,21,11,153
35448.9994593133,522.725331170587,11,20,7,275
35456.141337386,356.523176291793,3,36,2,351
35462.0788519637,884.391540785498,4,26,13,241
35548.2985842986,666.009330759331,2,30,12,144
35577.6224048443,908.670415224914,6,32,2,200
35591.095802302,105.218686526743,29,42,50,449
35654.2378516624,767.636402387042,6,37,1,181
35764.0611285266,222.378526645768,14,48,15,487
35777.8401373522,483.381915299504,2,66,19,281
35781.4009402283,936.695097380793,2,11,19,388
35878.9214083621,648.287016661427,5,70,23,421
35932.7341253585,462.60262187628,1,49,6,277
35984.7642405063,69.790611814346,6,31,14,269
36084.0981326977,634.691299165673,0,11,4,145
36114.6148952096,849.16504491018,1,19,0,279
36134.0773716952,410.073094867807,3,52,33,237
36274.9484732824,486.620992366412,1,46,25,248
36334.7244572158,905.052362707535,3,33,33,282
36333.9668639053,734.165088757396,3,36,25,334
36762.9120538024,116.737713398862,9,50,16,729
36816.2475598935,619.059449866903,9,50,11,284
36922.4453125,878.100725446429,5,40,46,167
36958.7123561781,454.580290145073,2,20,21,273
36973.65311122,570.851053405194,1,24,16,193
37022.6650615302,755.193686463349,1,20,1,118
125.10839658444,1791.58467741935,2,46,32,266
171.521292775665,1056.3433460076,3,83,21,503
406.051959890611,1763.89911880887,6,19,19,226
431.780710458424,1030.2494542568,15,55,115,1654
432.816260162602,1630.59796747967,3,45,3,308
485.559716200236,1524.73866771778,3,57,16,278
736.643768855883,1157.10327222093,1,57,52,742
809.474482248521,1430.94304733728,3,62,20,283
