cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,WNT5A,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,FOSL1,VEGFC,AXL,MITF,LOXL2,RUNX2,FGFR1,JUN,VGF,cluster
1700,35203.1894422311,11759.9766932271,15,11,0,712,1,17,0,21,0,0,0,0,4,2,34,0,6,0,0,cluster4
1701,35376.5974752317,11463.6987855545,1,120,0,191,1,0,0,3,1,0,0,0,6,8,11,0,2,0,0,cluster4
1702,35721.187007874,11295.2838789888,6,90,2,975,1,9,0,10,1,0,0,1,0,5,18,0,4,0,0,cluster4
1703,36480.831174733,12013.6455351057,1,81,0,110,0,3,0,3,1,1,0,2,1,3,7,0,4,0,0,cluster4
1704,36907.216389367,11446.2666857908,17,59,0,557,1,23,0,15,0,1,0,2,0,0,3,0,1,0,0,cluster4
1714,38627.1992149166,11395.8204121688,2,7,0,438,3,6,2,217,3,5,0,4,21,2,10,0,3,0,0,noCluster
1727,2712.16056402092,12205.1289515579,7,75,2,159,10,13,1,33,2,7,0,2,4,1,42,0,3,0,0,noCluster
1728,2998.69981814049,12259.4169129348,35,178,1,896,1,2,1,34,17,15,0,7,28,19,36,0,39,0,0,noCluster
1735,4658.97086368366,12548.3555324315,3,2,0,203,2,19,0,108,0,1,0,1,17,3,32,0,19,0,0,noCluster
1750,6291.84512798451,12346.7429554743,5,23,0,579,3,20,2,115,1,11,0,1,37,11,50,0,15,0,0,noCluster
1754,11994.24836772,12471.1075998955,21,23,5,289,9,31,0,56,1,5,0,0,81,3,17,0,9,0,0,cluster2
1755,12165.1323229379,12188.9670649956,8,17,1,179,1,7,1,0,1,0,0,0,18,2,13,0,12,0,0,cluster2
1756,12198.7668213457,12562.4715777262,4,7,0,143,1,21,0,1,1,2,0,7,61,2,25,1,11,0,0,cluster2
1757,12314.1992687386,12509.1691042048,1,7,0,278,0,19,0,12,0,1,0,13,37,6,26,1,12,0,0,cluster2
1758,12390.3058637084,12188.8317485473,4,9,2,164,0,17,0,0,0,6,0,1,50,3,55,0,15,0,0,cluster2
1759,12471.7289196311,12385.1831357049,32,72,3,336,8,22,0,8,9,3,0,10,73,7,41,0,31,0,0,cluster2
1760,12492.5377237852,12513.8574168798,4,16,1,342,4,16,1,6,0,1,0,1,69,7,48,0,15,0,0,cluster2
1761,12581.0698174006,12213.1820622986,7,47,5,149,0,7,0,4,2,4,0,7,32,4,52,0,16,0,0,cluster2
1762,12664.1807546066,12591.6706639368,5,27,0,5,1,2,0,2,0,0,0,0,1,2,50,0,10,0,0,cluster2
1763,13415.9448934607,12323.9757531227,5,17,6,488,1,11,1,23,0,0,0,2,42,9,37,0,16,0,0,cluster2
1764,13465.6144057012,12439.0855179435,26,54,3,971,13,28,1,66,10,16,0,7,102,5,111,0,41,0,0,cluster2
1765,13663.0821400159,12337.1443914081,20,56,1,734,3,53,0,25,7,10,0,13,114,7,59,0,30,0,0,cluster2
1766,13813.2237781439,12130.4211971444,11,21,1,409,4,17,0,43,3,3,0,4,34,1,10,0,12,0,0,cluster2
1773,15466.5184324659,12217.4296778191,10,84,0,1161,5,11,0,24,1,0,0,3,7,2,30,0,0,0,0,cluster2
1774,15783.7278621712,12197.369025565,10,21,0,120,1,13,0,29,0,16,0,0,26,4,5,0,16,0,0,cluster2
1776,30724.7131639723,12330.2027713626,1,113,0,126,0,1,0,14,2,0,0,0,1,12,10,0,1,0,0,cluster4
1777,31360.1891213389,12064.1364016736,7,17,3,830,1,6,0,43,0,4,0,2,15,3,18,0,2,0,0,cluster4
1778,31349.06120136,12280.9542878731,7,9,0,586,2,3,0,54,2,22,0,5,13,3,30,0,3,0,0,cluster4
1779,32420.7111697028,12783.111936721,10,0,0,546,4,9,3,24,6,16,0,3,17,2,16,0,14,0,0,cluster4
1780,32430.8829875519,12914.0810511757,6,2,0,341,0,5,0,11,0,7,0,0,11,2,11,0,7,0,0,cluster4
1782,33550.0422859165,12286.9590410474,3,22,0,1235,0,2,0,20,0,8,0,4,6,4,7,0,14,0,0,cluster4
1783,33816.7853266768,12581.2293249403,38,13,1,1354,5,26,1,258,12,52,0,15,85,2,422,0,51,0,0,cluster4
1786,34295.9189189189,13015.3918918919,8,2,0,285,3,3,0,191,0,21,0,2,10,0,3,0,5,0,0,cluster4
1790,36947.8882658068,12301.4588532174,8,80,0,990,0,10,0,8,0,1,0,0,0,1,0,0,2,0,0,cluster4
1791,37259.8014057508,12128.0267092652,1,12,0,65,0,0,0,1,13,2,0,1,17,16,6,0,12,0,0,cluster4
1794,38191.1218637993,12203.4261250498,1,15,1,410,0,0,0,1,0,0,0,0,29,5,24,0,5,0,0,noCluster
1801,39215.8686741949,12600.17398578,0,41,0,21,0,0,0,1,0,0,0,0,1,7,1,0,1,0,0,noCluster
1807,2175.98255560401,13802.9864805931,0,31,0,12,12,1,1,6,2,2,0,2,2,2,22,0,2,0,0,noCluster
1808,2216.90330788804,13693.5771840543,0,26,0,11,0,0,0,6,3,1,0,0,3,1,53,0,3,0,0,noCluster
1809,2478.00399840064,13404.9200319872,7,72,6,52,2,2,0,35,14,8,0,1,16,4,85,1,8,0,0,noCluster
1825,8112.83258232236,13256.231542461,13,65,8,55,6,5,0,25,20,6,0,0,7,5,29,0,6,2,0,noCluster
1827,14268.123888183,13922.7995552732,3,8,0,413,1,6,0,36,1,6,0,5,48,4,53,0,21,0,0,noCluster
1828,14342.5576219512,13556.5634146341,5,19,0,762,4,12,0,40,1,3,0,17,58,8,93,0,25,0,0,cluster2
1829,14531.3298611111,13742.0798611111,19,53,8,793,12,28,2,114,2,13,0,13,56,3,158,0,31,0,0,noCluster
1830,14643.3535213705,13307.1365288112,12,39,2,944,8,19,0,154,6,13,0,20,46,4,83,0,42,0,0,cluster2
1831,14849.0013793103,13038.6299507389,0,1,0,147,1,24,1,45,0,2,0,0,0,0,0,0,0,0,0,cluster2
1832,14843.1451818762,13394.5660497766,22,79,3,121,11,7,1,10,2,1,0,0,0,0,4,0,0,0,0,cluster2
1834,15369.7537806177,13196.792971246,27,43,2,885,5,21,1,101,0,3,0,0,0,0,25,0,0,0,0,noCluster
1835,15996.717428088,13445.7847715736,8,62,0,40,3,6,0,35,0,4,0,0,2,9,54,0,14,0,0,noCluster
1836,16043.1409107876,13747.9899216125,7,105,4,89,8,6,0,18,6,4,0,1,0,1,33,0,7,0,0,noCluster
1837,17214.2271407837,13476.0315674891,16,85,11,92,14,7,1,43,22,6,0,7,14,13,76,0,28,0,0,noCluster
1838,22621.2615675165,13865.0136921624,0,38,0,20,0,1,0,12,6,3,0,0,5,3,13,0,1,0,0,noCluster
1839,22699.2656068244,13695.1678945328,1,37,0,32,2,2,0,36,1,1,0,0,0,2,39,0,0,0,0,noCluster
1846,32935.4369897054,13093.0782747604,17,17,0,750,3,13,0,5,5,13,0,4,26,3,51,0,19,0,0,cluster4
1847,33032.9764304014,13269.39470538,21,40,2,734,3,13,0,17,1,4,0,5,32,5,44,0,14,0,0,cluster4
1848,33068.3874041621,13627.7193866375,47,21,0,1568,15,37,2,154,3,130,0,15,129,11,523,0,79,0,0,cluster4
1849,33482.1228411579,13139.3549014838,13,15,0,1098,1,5,1,14,1,2,0,4,26,5,15,0,11,0,0,cluster4
1850,33482.3840749415,13249.6972535661,11,9,3,891,0,0,0,0,0,6,0,1,19,3,15,0,6,0,0,cluster4
1851,33810.0972816127,13057.0328344533,28,12,0,1141,5,30,0,311,10,49,0,26,97,5,176,0,28,0,0,cluster4
1853,35067.003742515,13457.4756736527,0,57,1,64,0,2,0,21,0,0,0,5,0,1,3,0,2,0,0,cluster4
1854,36712.7166687999,13567.0431332395,9,31,10,1639,2,45,0,67,3,8,0,7,106,5,43,0,36,0,0,noCluster
1860,1253.54922082858,13977.1140250855,2,62,0,32,1,0,1,29,2,0,0,1,1,0,21,0,1,0,0,noCluster
1861,1484.1597406425,14697.4547597996,4,1,1,226,0,0,2,0,4,9,0,1,2,1,10,0,1,0,0,noCluster
1862,1664.52786734224,14798.4495624136,8,7,0,347,0,0,0,3,1,9,0,1,20,4,9,0,0,0,0,noCluster
1863,2057.42914331465,14777.2570056045,9,11,0,391,5,17,1,48,2,21,0,3,21,4,2,0,6,0,0,noCluster
1864,2070.48097731239,14698.1490401396,8,3,0,274,5,16,0,151,1,20,0,2,25,2,0,0,2,0,0,noCluster
1865,2151.92134511257,14474.424907381,9,10,3,450,3,26,1,108,4,22,0,7,46,3,6,0,12,0,0,noCluster
1866,2881.45036915505,14682.6237353022,7,4,1,399,2,8,0,215,2,16,0,4,23,2,3,0,4,0,0,noCluster
