cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,CYR61,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,WNT5A,VEGFC,AXL,EPHA2,LOXL2,RUNX2,FGFR1,JUN,VGF
1300,2684.9185840708,7634.91150442478,0,206,3,342,22,0,0,1,16,7,0,1,12,15,21,0,23,3,1
1301,2913.07108831074,7846.13997801392,0,160,0,321,173,1,0,3,41,7,0,1,1,11,30,4,16,14,5
1302,2928.32827630729,7630.26533247256,0,214,3,523,170,1,0,0,31,13,0,0,1,21,26,0,28,10,4
1303,3542.38586595886,8048.28666224287,2,121,9,451,175,0,0,5,58,12,1,1,3,22,23,1,26,28,2
1304,3563.24734260016,8294.94031071136,0,93,4,300,46,0,0,3,10,11,1,1,16,8,11,2,15,4,4
1306,4787.65299060801,8138.16287691547,0,252,5,466,12,0,0,1,9,2,0,0,17,25,13,1,18,2,3
1307,4924.25295898706,8244.230388109,0,151,5,485,70,0,0,2,3,8,0,0,2,23,17,0,25,10,4
1308,5050.0258087968,7567.01926572156,0,105,3,216,32,0,0,2,25,34,0,0,12,12,16,4,25,3,15
1309,5170.3783520234,7518.66796684544,0,195,6,366,8,1,0,3,25,21,2,1,9,5,12,0,9,5,8
1310,5233.32244686366,7826.62286158631,1,265,16,486,23,1,0,0,13,7,0,0,26,7,14,0,10,6,4
1311,5427.24397956702,8355.15543663342,0,134,5,345,82,1,0,1,53,12,0,1,87,68,32,1,13,2,4
1315,6472.30606860158,7591.7018469657,1,115,3,206,1,0,0,3,1,1,0,1,2,34,2,0,0,0,2
1316,6516.64636449481,7425.05807365439,0,188,6,261,14,0,0,1,6,1,1,1,7,13,9,1,17,1,4
1317,6651.18930446194,8313.53149606299,0,199,4,297,4,0,0,0,7,1,0,0,9,21,11,0,10,0,4
1318,6777.48872021927,7475.26839553026,1,359,4,484,6,1,1,2,3,2,1,1,36,51,10,0,22,3,1
1319,6803.06255864873,8184.15389427588,1,172,9,318,20,0,0,1,7,0,0,1,29,31,7,1,6,8,3
1320,6813.38005677786,7656.21220723918,0,164,1,242,159,0,0,3,38,1,0,0,5,41,6,0,7,6,8
1322,8439.32853513971,7597.56138865368,0,150,5,307,156,1,0,1,18,3,0,2,0,0,0,0,17,1,4
1345,13007.8380090498,8043.32488687783,0,140,12,420,347,1,1,8,112,16,1,0,0,0,0,0,26,17,7
1350,13967.5023875346,8013.29454636843,1,191,6,428,283,0,0,31,53,14,0,0,54,104,27,0,45,59,5
1351,14082.7401685393,7944.10449438202,0,119,10,266,36,0,0,3,0,0,0,0,33,125,28,1,33,4,4
1352,14134.8181818182,7699.48275862069,0,232,9,260,32,0,0,0,0,0,0,0,13,41,12,1,17,3,8
1353,14254.3407190635,7556.88963210702,1,257,5,423,9,1,0,0,0,0,0,0,23,40,9,0,10,6,8
1354,14323.4337788578,8280.96658566221,0,164,5,272,360,0,1,8,8,1,1,1,93,58,9,0,59,96,4
1355,14319.3352453792,7796.70713830465,1,88,15,311,80,0,0,0,0,0,2,0,29,50,29,1,27,9,2
1356,14375.5309056061,7472.01006229037,0,220,7,277,9,1,0,0,0,0,0,1,43,60,17,1,8,3,8
1357,14442.6628605769,7723.12109375,1,227,23,485,348,1,1,1,0,6,2,1,121,82,42,2,44,8,7
1358,14583.7000433463,7652.56480277417,0,235,5,381,4,2,0,3,0,0,2,0,18,30,11,1,13,6,3
1359,14609.9435618729,8105.07441471572,2,282,0,130,210,1,0,5,0,0,0,0,4,32,10,5,9,8,1
1368,16316.4716869256,7715.41535724874,1,90,13,467,169,1,1,1,71,62,1,2,0,0,0,0,23,13,11
1370,17105.7350655658,7561.63623118018,0,311,32,429,3,0,1,0,2,2,3,1,0,0,0,0,15,10,7
1391,23210.3914417002,7737.90637564618,0,81,59,377,131,0,0,2,9,8,0,1,106,78,28,1,7,9,1
1392,23377.5356004251,7713.4817569961,1,180,43,370,46,0,0,1,18,4,0,1,77,84,11,3,19,3,0
1393,23780.7837635615,7903.38346427235,0,152,36,552,316,2,0,0,78,19,1,0,125,82,41,0,34,46,5
1394,24000.6319290466,8029.0288248337,0,80,21,243,211,2,0,2,32,10,1,2,25,57,16,1,33,9,5
1399,25141.3160245673,8120.07314349525,0,16,0,110,7,0,1,3,2,2,1,2,0,10,3,3,2,2,1
1400,25310.3511413307,7820.31423020884,0,47,15,105,1,0,1,1,1,4,1,0,7,23,5,5,3,2,2
1401,25418.5742913001,8058.61388074291,0,27,3,55,2,0,0,0,2,0,1,0,4,16,7,8,2,0,5
1402,25553.4013605442,7795.53698979592,0,1,11,40,19,0,0,3,5,1,2,2,9,19,5,5,1,4,4
1405,26059.4210882055,8169.61642446773,0,150,8,261,98,0,0,1,18,8,0,1,48,17,13,0,12,11,2
1410,26818.2192602466,7888.52715761413,0,186,5,363,50,0,0,2,29,10,0,0,28,21,6,0,5,5,2
1411,26966.5609137056,8264.33736821554,0,107,43,476,104,0,0,1,22,13,0,2,63,21,14,3,20,19,6
1412,26972.5125718391,7966.40517241379,0,59,15,317,32,0,0,1,21,23,0,0,35,11,14,1,13,3,3
1413,27092.6889864618,8035.92755214051,0,157,0,314,37,0,0,1,39,10,0,0,23,23,9,2,2,10,10
1414,27160.5826996198,8161.63878326996,0,81,24,251,70,0,0,0,16,1,0,0,26,19,7,0,2,3,0
1415,27507.8481308411,8302.51682242991,0,85,3,125,4,1,1,1,9,0,2,0,27,1,15,0,3,0,2
1416,27676.8218325792,7970.62047511312,0,115,20,256,1,0,0,0,4,0,1,0,47,16,8,0,9,1,0
1417,27719.3053648614,7838.35926773455,0,169,40,251,13,1,0,1,7,2,0,3,17,33,19,3,7,3,4
1422,28185.9489016237,8328.77029608405,0,163,7,411,128,0,0,1,17,15,0,1,97,46,32,0,12,6,1
1423,28221.5535273804,7551.1011346818,0,301,6,439,22,1,0,3,2,5,0,2,54,33,26,2,9,7,4
1424,28310.2751281041,8055.82893180922,1,146,9,355,199,0,0,1,22,4,0,1,102,22,27,2,13,3,5
1426,28747.5697964271,7952.19090153718,1,250,36,437,45,2,1,2,32,17,2,3,9,39,19,2,21,9,4
1427,28771.637194008,7562.38655462185,0,250,1,322,46,0,0,2,8,2,0,0,9,32,15,0,10,1,2
1428,29356.6542152159,7756.30123372173,1,53,6,77,3,0,1,3,3,1,2,1,14,3,6,1,1,0,1
1429,29382.7132826214,7635.95728496197,0,78,1,126,0,0,1,1,0,3,1,1,21,3,4,1,3,2,0
1430,29403.4903329753,7525.50805585392,0,101,0,230,11,1,0,0,3,3,0,1,23,4,3,0,6,3,2
1432,29725.545357524,7741.76342938456,0,52,5,215,204,2,0,3,58,10,1,3,36,11,14,1,12,11,9
1433,29928.7708694575,8022.88085211791,0,166,25,472,29,0,0,0,6,1,1,1,70,11,9,1,23,5,10
1434,29941.8759811617,8320.04081632653,1,91,22,302,5,0,1,0,13,2,0,1,53,9,9,2,19,4,5
1435,30216.8336538462,8003.02692307692,1,47,35,256,239,0,1,0,88,26,3,0,77,6,17,0,12,10,5
1436,30376.0264746865,8369.35996284255,0,84,1,110,10,0,0,2,1,0,3,0,12,2,14,1,11,5,4
1437,30425.4009546539,8045.27535799523,2,63,42,223,261,1,0,0,24,2,0,1,41,2,11,1,10,6,0
1438,30414.7915335463,8436.2052715655,0,51,3,181,23,0,0,0,1,0,1,0,11,3,6,1,11,5,4
1440,31738.3162071846,8134.45196324144,0,79,6,229,171,1,1,0,34,12,0,0,53,20,17,0,8,8,0
1441,31776.4421743889,7942.62094126231,0,100,13,338,71,1,1,0,19,13,0,2,44,36,12,2,7,13,5
1442,31826.772845953,8272.85335073977,0,72,0,175,4,0,0,0,3,5,0,0,47,21,10,2,19,1,1
1443,32330.2033503955,8291.39460214053,0,68,9,278,26,1,0,1,3,2,1,5,12,16,9,1,7,6,1
1444,32552.6516908213,7975.46666666667,0,39,3,137,19,0,0,1,9,5,0,2,10,31,12,1,8,5,0
1445,32608.5856353591,8047.27751806205,0,55,8,163,146,0,0,0,20,10,0,1,9,44,13,0,8,13,8
1446,32708.2781599312,7906.72441960447,1,81,3,157,13,1,0,0,21,2,0,1,29,50,12,2,19,7,2
1447,32743.3597621407,7587.27651139742,0,159,1,202,12,3,0,0,59,2,0,0,46,42,10,0,8,7,2
1448,32749.6507603566,7509.46198217095,1,156,0,188,5,0,0,0,38,1,0,0,48,40,13,1,9,0,4
1471,37180.1818777865,7838.12090217676,0,175,66,472,431,0,0,1,54,38,0,0,414,61,53,0,32,33,1
1472,37251.6431134419,7609.06265525807,0,127,28,285,78,1,2,2,8,0,4,1,11,8,7,0,7,7,3
1473,37438.9917753829,7830.52212138401,0,221,96,604,91,0,0,2,23,2,0,0,102,38,9,0,6,7,0
1474,37579.4836285561,8334.2383252818,0,54,6,106,11,0,0,0,2,0,0,0,36,93,3,0,2,8,0
1475,37675.1255946717,8309.37250237869,1,146,34,375,135,0,0,1,8,3,0,0,147,9,3,1,2,0,1
1476,37689.5388151175,7516.23033707865,0,126,17,186,6,0,0,0,0,0,1,0,2,1,2,0,0,1,0
1477,37864.8941605839,8317.36287799792,0,65,4,139,76,0,2,1,3,5,2,0,35,19,18,1,7,0,5
1478,37908.0685434516,8193.95226438189,0,186,13,297,87,0,2,1,2,1,1,2,51,35,16,1,9,0,8
1479,37977.6970788315,8045.45818327331,0,137,4,161,68,1,0,0,17,4,0,0,36,31,20,0,8,0,2
1480,38016.4779619895,7918.90456934897,0,162,3,305,120,1,0,0,23,5,0,1,30,23,19,1,8,0,3
1481,38146.6429361859,8264.99963113242,0,167,7,326,105,0,0,0,17,2,1,0,52,17,17,0,8,0,3
1482,38456.26825577,8172.70790768067,0,253,0,375,31,1,0,0,14,6,1,0,26,11,15,0,14,0,4
1483,38539.5160163075,7592.73587652883,1,186,70,389,53,0,0,2,4,1,1,2,17,3,11,2,10,2,4
1484,39452.2962356792,7440.52482269504,0,83,15,176,19,0,0,5,2,1,0,0,37,4,5,1,4,4,0
1485,39792.0402504472,7433.98255813954,0,167,12,344,147,0,0,21,14,4,0,0,66,52,8,0,5,3,1
1486,39843.1685152057,7772.36350626118,0,143,6,322,108,2,0,0,27,64,0,1,16,37,12,1,22,0,2
1487,39913.2838973427,8105.03543038837,0,247,50,494,105,0,0,1,15,16,0,1,74,35,23,2,24,2,0
1488,40022.6482475529,7489.90811493527,0,82,21,251,325,1,0,3,40,9,1,0,81,31,14,1,9,40,5
1489,40086.8032729805,7818.49199164345,0,135,19,502,150,1,0,0,58,28,0,0,24,30,17,0,38,10,2
1490,40151.1965722281,7666.04791885275,0,244,5,388,15,1,0,1,13,8,0,0,46,12,8,0,18,11,5
1491,40181.9700107105,7553.41378079257,0,147,7,415,54,0,0,1,4,15,1,0,51,12,5,1,14,10,3
1492,40406.93880153,8303.81512962176,0,35,3,209,25,0,0,0,0,6,0,0,53,6,12,0,5,3,3
1493,40584.5660580022,8048.09523809524,0,124,2,144,18,0,0,0,0,0,4,0,2,13,10,0,0,3,5
1494,40592.1922794118,7873.56029411765,0,92,0,133,27,0,0,2,3,1,0,1,0,21,3,1,11,1,1
1495,41217.0909090909,8135.8947368421,1,174,5,352,3,0,1,2,1,1,1,2,17,14,7,2,10,1,6
1496,41242.8469333333,8223.7408,1,124,0,236,0,1,0,0,6,8,1,5,9,26,23,18,33,20,28
1499,326.710925807141,8948.59867436391,0,529,3,780,100,4,0,1,35,10,1,1,25,6,22,0,34,41,21
1500,454.551816958277,8589.2535666218,1,252,8,446,12,2,0,1,23,1,1,0,11,81,8,2,16,8,8
1501,813.265255731922,9177.39435626102,0,150,0,266,53,0,0,2,36,1,0,0,37,15,16,1,8,2,6
1502,1411.32212885154,9105.17927170868,0,70,0,149,4,0,0,0,1,0,0,0,12,0,8,1,3,0,1
1503,1649.67663043478,9040.66847826087,0,96,1,140,6,0,0,0,2,0,0,0,17,0,5,0,5,0,0
1504,1753.87824675325,9031.31493506493,1,193,2,90,6,1,1,1,8,4,1,1,15,0,3,1,11,0,1
1505,1776.40883844482,8638.78290268051,0,554,2,823,10,1,0,3,5,4,0,1,4,0,17,1,22,0,4
1506,1794.73220047322,8850.23187782319,0,522,1,843,69,1,0,3,12,14,2,1,20,0,13,1,28,0,11
1507,2030.68311258278,9146.04304635762,0,154,1,328,190,0,1,2,35,18,4,0,26,5,13,0,14,0,6
1508,2525.52502157032,8868.31082830026,4,501,1,1028,30,2,0,2,12,5,1,2,1,0,10,3,20,0,21
1509,2825.52673456397,8564.83004455761,0,208,0,194,5,0,0,3,3,2,0,1,0,13,5,1,20,3,1
1510,2876.51498973306,8794.20328542094,0,183,0,389,8,1,0,1,0,3,0,0,12,13,4,0,11,1,1
1511,2972.73009996298,9139,0,181,2,321,6,0,0,3,1,3,0,0,9,4,7,0,14,2,4
1514,4880.92159819073,9060.28420655861,0,270,0,335,7,0,0,0,6,0,2,2,12,25,13,2,3,1,6
1515,4940.73472174804,9161.11471491977,0,223,0,342,11,0,0,3,4,7,0,0,4,12,11,0,17,1,5
1516,5022.6237650933,8373.52030735456,0,104,9,529,448,0,0,0,106,6,0,0,15,65,15,2,29,9,5
1517,5315.81351214575,8461.11791497976,1,313,14,597,55,1,0,2,60,8,1,0,52,80,31,1,11,18,8
1524,6715.98692707513,9020.74515671759,0,213,6,386,34,0,0,2,4,4,0,1,2,28,12,1,14,9,1
1525,6736.34295261239,9158.42102065614,0,133,4,299,28,1,0,1,7,4,0,1,23,45,10,1,14,3,6
1526,6765.21524861878,8557.14453038674,0,397,11,526,60,0,0,1,20,39,0,0,32,72,38,1,24,12,5
1527,6990.09302890454,8654.13140636386,1,382,7,448,22,3,0,4,8,37,1,0,118,80,39,0,41,4,10
1528,7075.00091074681,8447.72981177899,1,317,14,524,32,2,1,3,15,11,1,1,25,78,16,1,37,8,9
1529,7135.24405063291,8650.96683544304,0,287,7,492,68,1,0,1,33,3,0,0,35,66,28,0,13,5,5
1530,7287.13158978583,8544.25267710049,0,472,4,767,165,5,0,5,156,55,2,0,65,99,46,1,44,16,9
1534,8139.05600672081,8373.89694763372,0,174,1,276,147,7,1,3,62,34,1,1,0,0,0,0,5,11,3
1535,8294.04459051341,9014.17090069284,2,733,1,1165,30,7,1,4,57,5,1,0,0,0,0,0,29,5,38
1537,9708.79253112033,8611.06099585062,0,209,0,246,107,1,0,0,31,3,0,2,0,0,0,0,8,2,5
1541,11209.6461538462,8960.86180371353,0,377,8,368,37,2,0,1,14,0,0,1,0,0,0,0,11,0,4
1542,11598.7771173848,8533.6734769688,0,288,9,373,8,2,0,1,8,2,0,0,0,0,0,0,20,9,7
1546,12541.1637912208,8970.57501637912,0,410,17,852,12,0,0,1,8,17,1,1,0,0,0,0,108,22,14
1547,12977.3849658314,8922.26271829917,0,114,0,136,4,1,0,2,51,13,0,2,0,0,0,0,31,3,4
1551,13812.3009275163,9185.88663689454,0,81,1,129,113,0,0,0,38,0,0,0,0,1,0,0,20,5,5
1552,14338.5548940224,8782.86925458442,0,285,7,464,11,0,0,2,2,4,1,0,0,0,0,0,17,7,2
1553,14566.0698120445,9185.65439202148,0,158,2,289,49,0,0,2,17,28,0,0,0,0,0,0,26,2,1
