Xpos,Ypos,EGFR,PDGFRB,FOSL1,GAPDH
1641.66615384615,540.086153846154,4,0,0,254
1680.45195729537,633.091814946619,4,2,0,290
1697.67436134195,238.147429978455,7,6,1,367
1733.40583190394,326.604802744425,3,1,3,339
1729.7338470658,537.588026081802,10,0,1,223
1762.00391304348,826.757826086956,4,3,0,160
1774.12671232877,473.344178082192,5,0,0,245
1781.95742793792,641.470953436807,4,0,1,328
1800.7729685586,154.07023274806,4,2,0,534
1805.50959752322,381.149845201238,1,1,2,220
1811.20130399348,579.437652811736,1,0,1,254
1871.21888726208,260.815153733529,3,1,1,379
1864.95423340961,833.842868039664,5,0,0,202
1878.75802343352,518.072847682119,3,0,0,246
1873.68961864407,379.235169491525,2,0,0,237
1923.84869092146,805.899353961238,8,1,0,223
1923.41255605381,901.27634529148,5,0,0,430
1924.11545454545,51.2409090909091,2,0,2,445
1932.84965380811,459.725519287834,3,0,1,204
1970.22710795902,584.263514578408,14,1,0,553
1964.43632734531,361.958483033932,5,0,1,313
2014.32643970729,755.341075405663,26,0,0,522
2046.64088628763,487.415551839465,7,0,2,348
2061.34018426648,161.104181431609,7,1,1,445
2097.32406755806,249.428571428571,10,1,1,343
2242.26313645621,109.404887983707,3,0,0,609
2320.54418308964,94.5435473617292,0,2,1,352
2343.00016894746,884.183307991215,22,0,0,718
2395.86741573034,612.836853932584,1,1,0,296
2397.02257336343,95.2024078254327,0,5,2,469
2430.10597302505,204.412331406551,2,3,3,400
2437.27326938035,491.510241120041,3,2,2,455
2474.11008174387,650.05340599455,3,0,0,200
2508.12977369165,235.479137199434,2,0,0,489
2529.24701195219,439.249667994688,9,1,2,472
2558.28073265234,947.315251849243,4,0,1,396
2557.68134715026,628.69896373057,6,1,1,342
2590.43555946104,541.138840070299,5,1,0,402
2638.03047484054,409.520198440822,6,4,0,534
2694.16566780822,602.19948630137,4,2,1,577
2731.94512195122,352.611081654295,1,3,1,595
2783.36877366735,676.621322458491,5,0,0,369
2860.08881256133,878.683267909715,16,1,0,556
2871.77358490566,653.518490566038,14,0,0,313
2943.0401989225,436.126813095731,9,0,0,398
2945.55675675676,763.943783783784,10,2,0,277
2954.43016069221,520.992171405027,6,0,0,289
3061.51188986233,421.849186483104,13,1,5,473
3059.40598290598,816.925747863248,4,0,0,307
3099.70451497541,875.468931604828,0,0,0,262
3110.86449275362,554.450362318841,16,0,3,430
3164.18966266107,308.954973215578,2,2,2,511
3199.09606613455,447.393101482326,9,0,1,346
3206.28551628552,591.155232155232,8,0,0,465
3260.94910536779,777.442942345925,1,2,0,270
3291.82726597325,486.8926448737,7,0,4,336
3341.09945277183,386.101356174161,9,1,1,542
3389.71252997602,256.146582733813,4,0,0,261
3467.94416749751,44.5677966101695,1,0,0,200
3483.35492364402,222.426013691417,1,0,0,270
3536.6009913259,929.287794299876,0,0,0,363
3532.25642427556,408.937124111536,7,0,0,552
3530.64455626715,297.19396157365,2,0,0,327
3556.15602836879,647.92420212766,0,1,2,376
3575.97283950617,151.970644718793,0,0,2,282
3582.3879969419,526.740443425076,6,0,2,430
3641.07098638052,781.303755674783,2,2,1,303
3681.82261904762,564.446130952381,8,0,0,396
3671.91826659353,210.444871091607,1,0,0,326
3720.92646571712,414.561775422325,16,1,1,491
3744.9191947831,650.347604196201,13,0,2,366
3788.69317235637,802.952539550375,11,0,0,255
3798.67753201397,236.981761738456,8,1,2,275
3845.56654305727,830.4384013185,10,0,0,278
3851.3199581298,706.789253314724,13,1,0,284
3855.25543478261,491.33381006865,28,0,1,564
3903.38031018206,611.996291301416,24,0,0,363
3918.05153592282,918.024117796395,7,0,0,290
3942.53007611097,219.862018168426,14,0,2,569
3942.08482871126,769.902528548124,8,0,0,301
3959.02080281277,397.957515382362,14,2,4,589
3981.17530224525,556.922711571675,7,0,3,327
3997.9276345545,832.190411578471,11,0,1,209
4044.64131305044,624.813450760608,1,0,4,322
4065.61046931408,488.542238267148,3,1,4,424
4085.81949342738,706.319974350753,6,0,0,310
4083.70771276596,272.759308510638,12,3,12,609
4084.25433992733,804.196205086798,8,0,1,215
4096.31461167179,906.763931548925,13,0,0,290
4155.30119680851,843.315159574468,3,0,0,192
4161.66995544239,520.562698917887,8,0,0,401
4183.4143741403,392.720770288858,13,0,2,440
4185.71312032631,779.840924541129,7,0,0,151
4171.295404814,268.431072210066,1,1,0,184
4184.97774067891,708.597662771286,13,0,0,247
4204.7647634584,197.10766721044,3,1,0,400
4219.77363555025,36.1249627199523,2,0,2,452
4230.5011786893,912.884959924564,2,1,2,218
