Xpos,Ypos,BABAM1,KDM5A,GAPDH,LMNA
23219.8128772636,1745.49038676503,3,2,266,71
23508.7867757915,1123.03166056429,5,8,306,69
23210.4669834917,1705.58704352176,5,7,270,74
23227.6300907364,1779.02616585778,9,4,280,62
23278.2816274634,1517.68229497775,31,24,1379,433
23413.3797590361,1675.07421686747,13,8,1078,210
23436.1353797717,1611.52892561983,19,6,1190,241
23433.1592121461,1074.26384899467,10,21,1036,268
23527.1316105769,1123.99834735577,1,7,205,40
23599.2337927514,1234.58295048494,26,34,1189,339
23601.6646201074,1076.64389869532,17,26,1342,348
23671.9890616005,1386.40817501439,23,21,1465,382
23772.5047054723,1284.24433600558,14,5,894,205
24173.716684808,1881.46804540507,12,20,1084,442
24274.711299435,1605.2418079096,11,4,766,152
24365.9457652303,1532.38979692917,15,8,789,243
24378.6510940272,1731.10467179184,1,4,195,63
24377.403144301,1821.64177428411,1,2,199,42
24458.5894554883,1822.41832324978,3,0,199,33
24465.0287356322,1737.90647857889,0,1,123,49
24535.8144404332,1698.6844765343,3,1,244,86
24570.0760482481,2242.46191843768,13,14,683,195
24618.1048309179,1664.93816425121,13,9,567,172
26357.922972973,1316.64305019305,9,6,821,159
27134.7440169646,1661.78188427749,8,10,612,45
27145.5630102041,1307.61964285714,5,14,706,246
27186.617813965,1104.54700222058,2,4,714,196
27352.3169098302,1328.47620186558,9,10,672,212
27429.4940572663,1437.45434900054,3,5,662,112
27471.4778138528,1250.76461038961,0,4,364,61
27521.6138613861,1512.75112511251,0,2,320,29
27524.0647590361,1358.32228915663,5,3,409,129
27630.0121532365,1292.61215323646,2,4,444,121
27635.3715736041,1045.7434856176,0,0,301,42
27655.2141802068,1387.82422451994,2,4,307,123
27732.6845039019,1850.57580824972,7,18,485,204
27773.7780497756,1594.36107711138,2,8,519,136
27798.0624399616,1060.4704610951,6,8,486,204
27833.7235872236,1183.72440622441,11,3,326,246
27872.4400469071,1587.96159484022,11,38,545,261
27911.1246612466,1695.98193315266,9,39,342,148
27912.9756747751,1177.04065311563,17,15,509,350
27990.1231143552,1824.66180048662,7,22,335,188
28033.0027042689,969.764149121113,2,1,265,149
28031.6692144374,1503.80891719745,12,16,209,152
28046.9791111111,1238.33644444444,9,12,447,268
28059.4884678748,1375.45263591433,23,12,518,404
28070.5131396957,1595.49654218534,12,32,366,270
28088.6386164171,1844.22663913268,7,31,454,324
28101.7351812367,1058.90831556503,7,1,416,290
28112.8971684054,1271.22006954794,12,8,401,318
28119.5536786787,1493.60923423423,12,9,421,280
28128.6887038001,1660.26236335242,15,23,446,285
28155.7035905271,1159.44194041253,16,16,690,407
28192.0570065294,1758.51356102461,9,28,425,236
28226.4783542039,1437.2457960644,23,9,451,387
28324.9101929093,1033.33563607925,12,8,863,370
28318.3840151336,1688.9165287302,10,9,387,159
28346.2382217499,1359.50141693234,9,6,500,266
28354.8167938931,1470.79750903977,15,10,626,358
28434.0004642526,1333.4721448468,9,12,810,392
28630.7290858726,1681.40858725762,12,13,942,238
28929.9697322468,1126.34536282499,20,18,665,417
28986.5225826972,1447.9036259542,12,17,844,310
29019.1461422088,1755.09894099849,12,22,660,183
29025.3993453355,1181.65521003819,10,9,287,258
29075.7207136091,1101.66671929271,6,3,236,153
29430.1825153374,1501.94248466258,23,12,792,392
29497.0506151142,1696.05448154657,13,11,704,120
29802.6113256113,1665.73777348777,2,26,784,103
30507.0433160622,1212.82300518135,13,17,505,107
30851.7936404932,1732.9980532122,20,26,54,168
30595.0438762626,1260.86363636364,7,13,69,47
30771.8580982236,1169.82904911181,65,45,675,491
30936.3944440296,1770.76835187813,12,37,47,252
30896.4804979253,1814.56182572614,12,11,224,29
30967.0100942127,1904.48586810229,4,8,763,73
31388.3157177309,1309.64087239174,27,25,1009,306
31382.0194794827,1177.50455053489,24,20,744,281
31919.5453885258,1078.09041394336,13,6,711,181
32417.0111111111,2143.13243243243,0,1,241,74
32456.4321167883,2194.93284671533,10,1,364,146
32494.0795180723,1207.17456492637,17,9,1109,358
32602.1967150497,1839.81703590527,5,7,509,154
32645.7389480478,1428.53081639238,5,1,556,201
32727.8457943925,1135.01051401869,9,1,986,242
32746.383518931,997.32561247216,3,2,472,100
32909.4756825939,1378.32081911263,5,6,618,205
33063.4085737505,1553.83462007314,11,6,793,253
33164.7528466175,1624.1597454789,6,6,843,261
33314.6787849797,1472.05501076298,19,12,930,238
33356.0848925849,994.517325017325,5,10,843,155
34448.3088362691,1290.13644239099,31,42,1469,251
34476.0336065574,1874.74590163934,1,1,150,38
34517.8732303732,1067.60489060489,4,4,246,30
34594.377309841,1838.74000859476,7,6,414,92
34607.081372549,1046.34509803922,6,4,388,103
34738.4979009236,1683.17842149454,17,11,593,200
34772.2862178357,1041.81106802961,5,10,580,196
34944.7946465914,1612.39376829778,14,19,1034,318
35002.0988235294,1824.26352941176,2,8,432,96
35119.3756786102,1102.66992399566,8,5,483,261
35281.0835716555,1844.10772163966,12,8,848,173
35351.3275584206,1135.20346494762,6,2,491,227
35404.8649076517,1008.28707124011,8,5,433,155
35486.3221306278,972.977171845276,6,8,490,144
35936.4539350988,1253.77545691906,5,5,396,140
36061.4946695096,1067.26083866382,4,2,384,112
36079.2158461037,1546.32018258885,7,6,594,266
36115.3878147482,1238.68817446043,15,13,694,296
36182.4568725654,1134.26989426822,6,5,338,138
36327.8208032956,1118.5918297288,11,7,656,252
36380.1322732201,1320.89989157933,1,4,390,109
36785.1925353502,1614.30286090102,16,15,1301,198
36769.1819905213,970.81990521327,5,5,666,77
36846.5642624729,1846.85656182213,8,8,710,252
37031.7448024948,1821.98128898129,4,3,407,59
56.0372151898734,2077.54582278481,16,15,489,189
265.318643285648,2035.10036917397,14,16,556,273
440.150887573964,2708.34361792054,8,7,613,91
724.153013182674,1984.67843691149,5,10,587,90
897.566083283042,1905.32166566083,8,6,548,115
985.541982418915,2550.1364049712,14,14,674,218
1180.95975802209,2602.17648605997,12,14,490,123
1177.3378324732,1926.28225486304,17,17,754,282
1670.71453900709,2606.52393617021,20,12,773,231
1732.805634418,2044.87355317755,8,2,1068,356
1943.24394817593,1997.06375724514,1,0,32,8
1939.70638297872,2003.81480851064,7,16,594,178
1981.71858216971,1956.60955961332,0,3,309,117
2526.2774566474,2500.05202312139,25,12,632,296
2563.79714705265,2058.71932032725,10,9,329,65
2543.01739415819,1952.24647193961,13,6,552,147
2723.78546949966,1896.96024674435,22,1,440,126
2972.57628418094,2491.04421160235,8,17,529,221
2960.26953258274,2793.70249061754,6,2,479,151
3077.35637360486,2761.52927354611,6,2,258,70
3460.2847375386,2770.25297750331,6,2,356,99
4070.68689533861,1953.59806508355,14,12,814,143
4358.63842561708,2609.63975983989,3,2,335,79
4420.05633206269,2585.43837357052,15,5,505,211
4433.64411247803,2008.5424721734,7,6,691,175
4485.98384066141,2241.0067643743,3,2,341,69
4489.44028268551,2103.73780918728,4,3,513,124
4525.9754406241,3181.45796012713,2,0,169,89
4628.72603833866,2603.23562300319,4,7,411,147
4701.0125,2476.44259259259,7,5,415,195
4831.65896980462,2576.94094138544,3,11,384,130
4894.77126577127,2746.21815221815,2,1,370,71
4926.02797833935,2615.44810469314,6,8,365,188
5069.77294866991,2610.77182465343,7,2,525,177
5110.15098374679,2782.39563729684,3,2,306,59
5311.11184210526,2323.93703007519,8,17,952,276
5711.88377341458,2573.4919882645,12,0,928,324
5739.05931899642,3160.02043010753,3,5,131,35
5797.66370023419,2711.52903981265,15,3,690,239
5937.1376641651,2660.89868667917,10,3,860,249
6037.39565086077,2435.8459679855,20,3,847,324
6172.51023378514,2634.89402346948,27,8,2200,686
6173.38702779758,2278.43799002138,5,3,738,316
6364.22839506173,1919.59744268078,5,0,543,149
6378.68302180685,2117.41549844237,8,2,482,159
6591.14352574103,2218.5598023921,20,16,577,256
7010.13164324985,2125.27183872938,15,11,776,251
7136.37669126691,2180.51260762608,13,7,1222,333
7227.24047417443,2599.4784081287,19,18,1184,290
7521.12852738914,2527.3244012331,9,4,550,68
