Xpos,Ypos,NGFR,NRG1,FOSL1,VEGFC
23443.1105213862,510.074305338745,0,1,16,0
23537.9165654111,168.069663831511,1,22,27,0
24560.8063836194,340.822041553749,1,14,2,0
25157.3114297093,796.145758661888,0,1,4,0
25425.8745080892,703.972015741146,0,3,9,0
26124.6933891714,300.357164223751,0,5,16,0
26124.9122638489,78.2676913224464,0,1,4,0
26312.5295396883,257.124682856107,0,7,28,0
26797.7099105299,407.79593943565,0,4,21,0
27180.4210526316,148.257456140351,90,56,77,0
27842.8128435059,205.531096326294,1,5,43,0
28568.1008287293,948.080801104972,30,9,5,0
29315.4655305964,539.642912470953,1,1,29,0
29433.204649232,530.383146533831,3,3,55,0
29442.5636814379,202.022621629997,1,12,97,0
29485.4121376812,938.87077294686,0,1,7,0
29592.0533417007,892.31220583621,3,1,21,0
29703.3486199575,162.237791932059,0,6,10,0
29908.9921476247,114.036906164115,1,7,15,0
30161.506373117,517.219003476246,2,8,28,0
30301.232275754,571.521347434391,0,6,17,0
30635.9272131148,732.76131147541,0,0,1,0
30862.6907261592,255.899825021872,4,20,5,0
31093.6664003196,557.047542948462,2,1,6,0
32848.2736425746,549.143473570658,0,0,3,0
33099.6361276927,179.193615364651,0,0,4,0
33603.5225,642.812142857143,0,4,1,0
33754.3695329874,547.481838398814,1,7,4,0
33897.171000788,855.97951142632,1,3,3,0
33986.4704205274,22.6821097647897,2,3,2,0
34006.115228013,466.732899022801,1,14,3,0
34185.1197375615,114.364133406233,1,7,3,0
35277.1174707005,449.905423821205,0,4,18,0
35909.7755261107,12.9547934528449,0,3,5,0
36556.5401947149,242.20528511822,1,21,38,0
36988.3484974958,514.832637729549,3,7,4,0
36987.8587819947,428.567078552515,1,1,6,0
171.725029377203,1341.29494712103,0,1,7,0
185.697727272727,1229.08939393939,1,1,3,0
274.627050674444,1373.57564710171,0,7,7,0
419.243093922652,1594.98732531687,0,6,1,0
567.403201219512,1239.5019054878,0,8,14,0
1157.97975708502,1047.11740890688,1,3,1,0
1222.96773036931,1620.05055575475,0,0,0,0
1366.24016853933,966.746254681648,0,15,1,0
2006.46001045478,1907.12598013591,1,6,38,0
2064.16291854073,970.9980009995,0,0,5,0
2194.99593646103,1127.85777613594,2,3,22,0
2369.14625407166,1574.55374592834,0,1,7,0
2470.89828801611,1111.49378986237,0,3,32,0
2589.99285146942,1673.63979348689,0,0,1,0
2664.71859099804,1825.61800391389,0,1,2,0
2840.5206185567,1628.05265095729,0,0,1,0
2897.01696969697,1032.03393939394,1,3,11,0
3575.8698989899,1444.13313131313,0,16,41,0
4206.58674775928,1526.42317541613,0,2,1,0
4426.781627983,1534.55671788166,5,18,3,0
4562.52140393589,1498.49807263137,2,18,10,0
4556.17672047579,1857.63636363636,1,1,3,0
5189.91825396825,1763.65052910053,0,4,15,0
6671.60395286963,1405.1900418092,0,8,13,0
7820.48048048048,1546.51136851137,0,2,4,0
8011.73530840214,1710.18067022827,0,3,1,0
8545.91592601489,1270.50324285371,3,20,4,0
8807.49639742131,1740.11717861206,4,2,7,0
8838.15372424723,1830.46117274168,3,2,5,0
8929.97364400306,1173.09549274255,2,16,0,0
9034.52354160497,1378.69233047083,3,22,0,0
9200.34593495935,1215.18048780488,1,5,0,0
9256.7734929078,1825.45877659574,1,2,2,0
9661.92629546186,1227.83102671387,3,2,23,0
9742.44595709571,1837.98762376238,0,3,7,0
9799.94168224299,1269.00411214953,1,3,15,0
9804.6148989899,1626.54503367003,0,2,3,0
9895.43170529801,1026.27566225166,1,4,15,0
10016.0812144213,1783.3734345351,1,2,11,0
10077.095475301,1467.40265670403,0,10,10,0
10298.4580645161,1064.25337243402,0,6,13,0
10446.6499206769,1532.61660497091,0,5,12,0
10550.332231405,1500.18016528926,2,14,23,0
10617.6042378674,977.408749145591,1,14,28,0
10650.4683602771,1225.75796766744,0,11,17,0
10676.7089160839,1324.92526223776,0,12,9,0
10923.5849249659,1329.62380627558,0,12,16,0
11538.607398568,1393.0584725537,0,1,12,0
11737.6678750697,1273.60819854992,0,6,14,0
12160.0733515412,1834.68513460788,0,0,2,0
12350.8121918422,1796.98969072165,0,2,6,0
12399.5577109602,1718.70708050436,0,0,3,0
12451.4268857986,1362.9207753898,1,8,7,3
12533.5379526462,1160.39484679666,2,20,19,0
12688.267674522,1479.84126278346,1,4,3,0
13061.4376699029,1219.21048543689,1,6,12,0
13133.9888475836,1810.15579587699,0,1,0,0
13166.8421797594,1664.12915782024,0,1,1,0
13260.3124477861,1161.78975215817,0,5,5,0
13400.7160751566,1495.06221294363,0,4,3,0
13476.1817820207,1400.3261734288,0,5,3,0
13555.5517241379,1823.1976450799,0,1,1,0
13786.2833521233,1388.72266065389,0,21,16,0
14006.2673170732,1060.37658536585,2,4,19,0
14020.5690150971,1866.01078360891,0,2,4,0
14679.2430426716,1265.41818181818,1,22,16,0
14721.0351678465,1609.90271751541,9,7,23,0
14857.8834985836,1869.43590651558,0,0,4,0
15034.2546935884,1097.680481757,3,9,8,0
15235.3642119294,1238.51049650117,2,2,6,0
15319.0004912798,963.274871039057,2,29,9,0
15328.3878914405,1848.44363256785,0,10,28,0
15426.9081122645,1520.84890426759,3,3,2,0
15575.9885583524,1227.04347826087,1,8,4,0
15633.5369532428,1456.88416289593,0,4,4,0
15878.5699892048,1154.45735876214,2,1,1,0
15879.634244373,1872.07596463022,1,1,0,0
15900.9917306556,1502.67247489663,1,0,5,0
15976.4588918677,1674.54870420018,0,0,2,0
16010.5871101871,1597.99792099792,0,1,2,0
16048.9501754386,1156.47473684211,1,28,6,0
16178.7458974359,1483.09461538462,1,9,5,0
16480.2564885496,1355.93625954198,0,9,7,0
16488.139986376,1746.98160762943,0,1,3,0
17111.9330567603,1245.78087874788,0,3,6,0
17296.8992974239,1821.8718634995,1,3,5,0
17538.3328324568,1763.38317054846,0,1,1,0
17607.2768946396,1547.21293900185,0,1,1,0
17648.9262773723,1341.46496350365,1,0,3,0
17681.0056292722,1758.0892641737,0,1,0,0
17738.7370145063,1689.41834347216,0,1,3,0
18009.7934113301,1255.50338669951,2,8,11,0
18018.6441152922,1748.37029623699,0,3,3,0
18249.7004978935,1278.75871313673,1,16,3,0
19090.4712535344,1745.98397737983,0,0,2,0
19542.7425997426,1847.75225225225,0,2,6,0
20153.7644456732,1793.68122753663,7,12,8,0
20368.0491679274,1809.31580937973,1,2,2,0
