Xpos,Ypos,EGFR,PDGFRB,FOSL1,GAPDH
8286.7319391635,544.683460076046,100,0,12,399
8289.37947368421,206.168421052632,96,0,25,352
8322.9136659436,826.246854663774,95,2,14,360
8360.43419572553,911.44994375703,75,2,1,409
8358.68506900878,663.526557925554,36,0,3,280
8369.36338363781,272.353057982526,83,0,16,306
8494.12492668622,674.759530791789,35,0,29,445
8497.11386940097,528.123043712898,54,1,18,272
8497.14378554021,269.33103168156,101,0,21,337
8541.77561232552,797.822228074796,63,0,14,439
8533.00367840252,455.131897004729,73,3,24,248
8584.40111260311,953.600422021868,91,0,7,571
8580.69730010384,544.176531671859,60,1,11,419
8585.09914204004,222.935176358437,92,1,45,329
8583.21551020408,377.071020408163,64,0,19,319
8644.26257309942,678.576900584795,84,0,21,535
8677.11827956989,377.215053763441,113,5,41,305
8687.0306122449,240.273979591837,53,0,23,332
8758.96773326163,442.798467329927,276,21,40,611
8755.41242765763,583.265306122449,133,2,26,691
8751.60883392226,827.421554770318,38,1,2,502
8748.5266594124,55.538266231411,98,2,18,308
8746.47705442903,290.604055496265,70,0,11,279
8771.62882352941,936.978823529412,31,0,14,286
8820.85897435897,113.804487179487,144,4,13,586
8863.50815660685,267.018760195759,239,4,89,797
8870.92534174553,898.635120925342,30,0,5,430
8978.9223820059,423.769911504425,246,3,45,1033
8962.48869883934,19.4404398289554,37,1,11,311
8964.42742857143,953.576,55,1,2,339
9004.22200066467,780.19209039548,129,0,7,497
9037.95880149813,894.899344569288,54,0,1,317
9083.72121688959,140.167322318384,328,6,46,746
9112.23297730307,463.90520694259,44,0,10,229
9139.69834895136,39.4404283801874,117,1,24,630
9140.35488557937,329.520886305848,144,3,31,578
9139.00901225667,807.94989185292,102,1,4,555
9241.32022968198,916.795053003534,54,0,2,380
9251.37593383138,246.586446104589,131,1,14,748
9437.95191256831,98.6499089253188,97,5,13,418
9439.64995083579,20.1420845624385,86,0,7,332
9544.52103004292,326.768669527897,107,1,39,469
9598.18511957485,36.9216120460585,49,3,12,411
9656.06185155627,132.869513168396,43,1,15,509
9665.69220999153,227.200254022015,54,2,19,533
9699.04989747095,850.735475051265,32,0,5,346
9771.79621478873,232.981073943662,75,2,37,481
9802.2962962963,100.0839193624,83,3,22,701
9819.73824746145,323.458819104927,71,1,28,432
9919.80201765448,106.077763766288,108,3,24,575
9971.94736842105,916.990069513406,52,0,20,362
9974.58134083451,282.745897796531,49,1,21,323
10008.304414003,153.08904109589,106,1,37,474
10019.6792518185,660.500519570488,185,0,33,632
10030.5824436536,485.55001977066,58,0,23,429
10074.7225077081,53.808838643371,115,1,5,594
10158.00166044,305.400166044002,180,3,18,608
10120.5189599133,921.341639581076,97,4,8,543
10144.3313481321,163.44721169464,83,0,17,542
10154.2371442836,460.757863205192,52,0,9,453
10183.9339992865,645.317873706743,59,0,14,409
10286.3029801325,115.864238410596,149,1,19,526
10245.300954753,207.144458281445,149,3,15,454
10263.689882918,822.071149804863,35,0,0,555
10280.1597163121,578.717730496454,76,1,5,415
10299.9897790966,393.962743158589,146,3,24,631
10343.0655987796,848.231884057971,102,0,4,372
10361.708640062,437.606354126308,92,0,7,342
10393.3546617916,70.3360146252285,105,1,18,398
10416.4599371563,195.613511390416,150,13,38,442
10425.6134143121,539.281753366781,84,1,14,483
10429.8502808989,700.084269662921,94,1,3,525
10447.460444136,354.221027064539,82,0,6,423
10468.11750306,942.828233374133,92,0,40,425
10528.0187301587,52.1057142857143,85,5,15,430
10523.7696597881,156.771332961517,36,0,11,244
10536.5926043991,600.009563277016,58,0,35,410
10545.9548949257,339.930292157868,89,0,57,410
10586.7452021233,427.391180073499,79,1,29,403
10584.967032967,136.221719457014,54,3,21,191
10613.9706759443,239.418986083499,77,3,41,416
10620.7138728324,769.43559042114,43,0,14,349
10663.1062922147,608.810167081408,79,0,23,349
10710.1697955778,483.598247809762,60,0,45,385
10718.1013071895,155.578431372549,35,0,28,243
10723.0346344145,705.142935678944,88,0,17,551
10743.2373646209,901.435018050542,43,0,13,387
10761.7212677725,388.545023696682,66,5,11,596
10777.4810744811,249.92673992674,123,4,54,495
10783.4245709124,56.2339656729901,97,6,44,377
10829.5094972067,161.216201117318,66,0,33,440
10847.0150526844,591.115403913698,91,1,28,504
10874.8056242274,831.254017305315,93,0,4,526
10924.0959429825,544.222039473684,37,0,15,280
10928.9581624282,450.870385561936,138,3,40,457
10938.1949817041,958.697334030319,69,0,33,656
10978.9137168142,619.919911504425,116,1,34,453
11009.5131264916,44.8262529832936,120,4,22,435
11030.3163225555,218.392286716011,133,1,18,442
11034.0823931624,732.948376068376,133,1,10,512
11044.4676258993,358.667404537908,85,1,22,321
11060.3746907034,464.407564510428,87,1,9,438
11141.7454253612,716.216693418941,58,5,2,406
11172.1151821862,906.077935222672,144,1,4,797
11197.2646720368,317.876582278481,142,1,21,514
11200.0562845304,476.363950276243,156,2,15,438
11210.1024115252,90.1296586282493,88,0,7,672
11300.4213649852,829.803730394235,68,0,6,359
11355.4573170732,135.257113821138,74,3,37,431
11381.5943832208,856.590472804835,81,0,0,259
11383.9270072993,766.795058955643,31,1,5,240
11399.6968973747,540.615274463007,49,0,18,302
11417.2029925187,693.807481296758,50,0,4,260
11427.4294453507,321.898450244698,46,2,26,304
11425.4701230228,448.076010544815,97,1,32,384
11429.5278884462,196.380976095618,70,0,34,396
11514.2582368655,889.366280795488,100,1,14,658
11546.5315273237,339.019617001401,100,2,16,583
