Xpos,Ypos,TXRND1,NDRG1,A2M,GAPDH
6537.45748855461,614.988881621975,36,15,2,875
6560.00786782061,217.236034618411,19,1,0,674
6577.54437140509,861.435497124076,32,0,2,440
6612.30100055586,303.488326848249,11,4,0,597
6657.81784386617,808.67936802974,17,0,0,561
6697.61716341213,442.101233299075,6,7,1,388
6758.93155590927,327.865897333864,24,2,1,782
6777.47544046983,505.946075814202,12,1,3,603
6778.76279239766,857.832602339181,28,1,2,550
6834.83252258513,635.586518415566,60,13,3,1174
6964.7421697685,502.630503858375,36,9,4,1221
7014.67221510884,877.248079385403,23,1,5,324
7032.15326778485,776.104684788895,35,1,8,607
7049.00786484125,373.114477133702,15,4,1,579
7067.47750058289,46.9993005362555,4,2,1,1037
7070.17028670721,134.878801042572,3,6,1,866
7065.78950187466,952.114622388859,12,2,2,305
7086.47338792221,228.885875127943,5,2,0,758
7139.18482039397,802.287659327926,12,3,27,667
7373.54957221943,598.529441368898,47,9,3,928
7428.83726606998,530.067805804177,21,7,1,559
7474.59707574305,348.174496644295,36,32,2,1150
7466.91019244476,773.270848182466,41,2,6,586
7674.10774539877,52.9915644171779,16,0,0,810
7727.826697476,434.945431923214,98,23,8,987
7797.16656497865,311.509456985967,30,7,3,749
8199.62978142076,74.5587431693989,19,2,3,640
8319.38923076923,583.099230769231,47,4,3,946
8591.92618767177,676.489202983903,12,1,0,489
8702.14399318375,372.566600397614,53,2,0,622
8811.28432956381,22.4571890145396,13,5,0,506
8824.26002587322,594.73652436395,36,1,0,338
8859.62731400629,725.077890324834,37,1,1,593
8904.77669404517,537.921971252567,35,2,0,638
9185.00237812128,810.80895759017,33,6,0,694
9212.45381310419,431.782223415682,98,6,2,896
9287.12883435583,589.203680981595,45,4,3,582
9594.10963114754,303.445696721311,53,2,2,731
9727.50742027155,255.374802652352,4,1,0,302
9795.54339250493,326.794378698225,32,5,4,627
9953.73655462185,810.339075630252,61,3,1,352
9972.97111269615,170.380884450785,29,1,1,584
9987.60798226164,891.718847006652,27,0,1,280
10072.0329611909,864.509303561935,44,1,1,315
10162.0899031812,839.325956662056,52,0,1,418
10208.3263632636,346.217712177122,44,6,2,670
10462.5833558498,288.2370980816,131,38,2,994
10556.7356948229,791.968859478396,62,3,0,619
10616.3891471067,296.707181036486,80,58,3,825
10665.3604734577,85.6868723098996,33,4,0,885
10899.1759456014,335.073735656609,75,41,8,1722
11331.4169640983,821.08356078102,48,3,1,795
11584.6131099064,606.858058156727,37,2,0,736
11609.404797283,820.592867756315,34,0,0,754
11674.2659503022,859.604432505037,23,4,14,703
11747.1390194762,19.5292142377435,35,3,6,1820
12043.5589536048,234.722838785047,113,6,111,3447
11972.3616149795,494.155646576946,79,27,14,1778
12153.7292477302,517.313878080415,29,5,10,1050
12185.7184549356,663.98669527897,25,2,6,631
12189.5299374441,796.197050938338,21,3,19,733
12327.8740648379,891.758728179551,14,5,5,484
12478.1612903226,803.864343317972,33,1,1,613
12478.4976209358,335.601903251388,30,11,14,833
12483.2033684211,616.512,20,3,20,719
12521.2084754019,428.503166098393,36,16,23,786
12537.2253609542,132.121782799749,24,5,4,686
12588.8100619759,879.11119212541,35,1,12,755
12593.9034216336,76.3200883002207,12,1,1,481
12682.3593830334,192.912596401028,19,1,1,640
12702.7691680261,50.3776508972268,7,0,4,451
12727.703074805,686.187241854062,33,0,10,512
12750.3249078462,542.449183780937,16,0,0,317
12794.2901520159,704.385327164574,28,0,8,542
12811.6822222222,595.653888888889,20,2,1,342
12906.3408862034,124.118831822759,11,1,2,640
12946.9776119403,435.190671641791,17,1,3,633
12955.4536005939,648.738307349666,11,0,2,447
13020.8619837628,176.141193081539,39,4,4,858
13029.2987012987,410.165334665335,10,1,1,314
13099.9191374663,369.010396611475,25,0,3,566
13215.677328844,159.112233445567,25,0,2,881
13394.5730536793,193.262353359403,36,8,2,1021
14392.4985721085,599.068300809138,66,28,2,938
14487.9987312865,344.799797005836,173,39,0,1850
14659.9049815498,851.658671586716,76,4,5,1062
14798.1758037923,895.092126957955,107,4,1,979
14981.8604016861,307.944458219688,20,4,11,715
14993.3315508021,128.477718360071,62,2,13,835
15305.6399886072,494.863001993734,85,2,26,968
15685.0038314176,278.136836343733,24,1,5,452
15686.3931232092,590.836103151863,37,2,4,452
15743.0345549738,685.301047120419,59,1,4,556
15771.4224327898,851.486117232261,31,2,9,526
15751.2850533808,120.366192170819,34,0,14,601
15760.9944219067,384.847363083164,37,0,7,525
15773.3549979432,477.222130810366,16,2,3,297
15800.717964439,751.416309012876,41,3,4,446
15802.0253640207,26.6242367308596,14,2,10,265
15906.7084265474,855.237509321402,36,1,2,443
15914.9867909868,516.133255633256,48,1,6,656
15955.9834278238,619.915394679459,28,0,6,504
16120.287324906,601.750256235053,57,1,12,657
16505.9574468085,817.143710339679,90,0,14,543
