Xpos,Ypos,NGFR,NRG1,FOSL1,VEGFC
1881.15961995249,1148.62232779097,0,11,19,0
1994.85531914894,1791.51914893617,0,1,0,0
2083.18590575011,1399.88802421098,0,4,0,0
2118.084,1475.46933333333,0,3,0,0
2231.03648269411,1007.59869036483,0,1,1,0
2287.2836935167,1308.58742632613,0,5,13,0
2902.96907563025,1816.16571428571,0,0,3,0
3043.36911815964,1334.70895782503,0,6,6,0
3314.7061891516,1685.69158553547,0,1,13,0
3608.53870529651,1302.07831598008,0,6,16,0
3727.15568862275,1293.65085214187,0,5,22,0
3771.24384321887,1724.05376344086,0,1,8,0
3923.6537037037,1495.7362962963,0,2,2,0
3964.87124802528,1090.80252764613,0,0,7,0
3980.03497468937,1390.91762540267,0,7,16,0
4042.70008992806,1327.24145683453,0,3,18,0
4210.31075392269,1501.55032529659,0,3,5,0
4218.75815738964,1005.10748560461,0,1,1,0
4240.8698017878,1671.57326078508,0,3,6,0
4580.94503375121,1601.29026036644,0,2,3,0
4613.81577893472,1785.21385662795,0,4,4,0
4691.31030490158,1644.53184098804,0,2,0,0
4753.68140794224,1826.43727436823,0,0,1,0
4964.93537015276,1543.81880141011,0,1,7,0
5197.00228832952,1061.60488176964,0,14,35,0
5332.35451919109,1107.52414362361,0,27,28,0
5627.15199674002,1762.30603096985,0,4,2,0
5752.08507604563,1076.3141634981,0,4,8,0
5938.18024096386,1732.45060240964,0,0,0,0
6003.73897550111,1284.30601336303,0,9,2,0
6019.94117647059,1841.87330316742,0,3,7,0
6494.77453798768,1422.74907597536,0,2,5,0
7005.23872026251,1686.40237899918,0,1,4,0
7392.63122923588,1207.74584717608,0,7,12,0
7607.91017733231,1432.23901310717,0,7,10,0
7706.08742088608,1570.17325949367,0,10,5,0
7731.11423390752,1265.58839528558,0,4,1,0
7876.64912280702,1003.14974937343,0,4,45,0
8019.35257633588,1813.77671755725,0,4,6,0
8040.45884057971,1309.26985507246,0,5,56,0
8204.67855589387,1716.04393214441,0,3,10,0
8370.49240506329,1827.63080168776,0,0,4,0
8374.04420898794,985.909024479357,0,5,7,0
