Xpos,Ypos,NGFR,JUN,LOXL2,SERPINE1
2480.28106382979,478.501276595745,0,21,29,0
2492.03862763916,635.775911708253,0,35,21,7
2511.00551548579,251.268985999151,0,5,15,0
2517.47026209677,123.28377016129,0,8,1,0
2591.41519157517,543.614384942864,0,22,22,2
2653.38511678436,705.093155893536,2,53,22,3
2670.07551642398,357.951574669827,0,16,11,0
2691.07504873294,251.106725146199,0,2,8,0
2687.08233890215,26.5536992840095,0,1,1,0
2731.16448402305,183.602933473023,0,3,9,0
2770.91819811744,744.530031376065,1,20,24,0
2765.41656416564,111.748667486675,0,15,8,0
2781.68573730862,294.929089443997,0,10,10,0
2800.58478970616,530.938160169003,1,35,31,0
2841.53505976096,344.003187250996,0,25,6,0
2893.05319767442,57.7433139534884,2,49,20,2
2908.30536839817,743.249510975875,1,51,34,1
2963.93934426229,437.343278688525,1,42,17,6
3013.42177314211,555.007605388961,0,68,45,3
3032.29762689519,287.459459459459,0,7,9,1
3042.27969762419,100.629949604032,0,22,13,0
3098.62460336832,846.488162069807,0,53,32,1
3142.01882648259,565.507373705679,0,85,33,3
3160.39311200745,423.614644740925,2,10,3,37
3176.8185768604,288.730581205866,2,24,37,3
3187.91698693313,121.515244683577,0,14,14,1
3205.32890806505,637.924991702622,0,118,22,3
3228.11958694204,869.041638907395,0,57,18,0
3237.88519637462,15.9707955689829,0,4,2,1
3263.00121469784,770.220163984209,2,115,11,3
3294.04628362973,376.297309621523,1,26,18,15
3290.33270676692,519.895676691729,0,53,25,5
3371.48393928697,689.053300388281,0,38,11,3
3399.13042049934,574.492115637319,1,55,18,3
3403.67992424242,83.0694444444444,0,7,7,0
3436.73046488625,153.640454995054,0,15,5,0
3439.12325141777,860.614744801512,0,19,5,0
3463.49373650108,345.829373650108,4,14,17,1
3492.82914779745,706.810209962948,0,22,8,2
3540.31942336874,797.995827010622,0,59,12,0
3580.57108549472,20.1695485110471,0,3,5,0
3576.70608020699,651.715653298836,0,22,16,0
3576.96687116564,141.154192229039,0,16,5,1
3603.94616734933,397.912229373903,0,19,4,0
3647.7246835443,721.088607594937,1,51,8,3
3696.15541666667,472.235416666667,1,31,11,0
3697.18761384335,290.210382513661,0,23,28,0
3697.32484725051,389.734725050916,1,22,8,5
3737.94635080996,720.987807002264,0,85,17,0
3740.37274774775,174.045795795796,0,22,8,1
3775.56262939959,23.3597308488613,0,12,6,0
3846.7634584013,260.02637302882,1,58,23,3
3880.52991452991,827.184435447593,0,77,34,1
3909.16961852861,709.613079019074,0,106,18,0
3960.0940816983,421.728530073979,0,58,32,12
