Xpos,Ypos,LMNA,AXL,LOXL2,GAPDH
6223.83061357702,363.177219321149,179,2,4,445
6247.01334635417,867.254557291667,151,12,26,387
6308.29942857143,132.04419047619,129,0,4,296
6313.29726585224,30.8865619546248,125,2,15,297
6377.18785999114,286.000886132034,193,4,14,531
6375.35436671239,759.674897119342,130,16,11,402
6382.39241752831,199.192023633678,112,4,13,363
6380.6512605042,878.97118847539,60,0,2,196
6583.38935969868,628.671845574388,97,1,2,389
6593.47419000549,799.65540911587,99,18,1,260
6587.42910101946,301.54031510658,96,4,1,220
6646.03445990722,710.917163684559,69,0,1,212
6661.66744840525,257.243902439024,114,6,4,215
6711.15471311475,945.845286885246,132,0,1,349
6793.5661209068,788.020151133501,117,0,0,362
6826.22073002755,49.7610192837466,168,2,1,398
6857.62104657849,936.782058654399,128,4,2,215
6883.72996300863,1084.2447595561,107,7,11,379
6903.19687055477,472.684779516358,236,2,2,667
6938.43906510851,913.100723427935,105,6,5,217
7037.37793024586,512.105202973127,173,0,3,612
7054.69602394186,150.453185121847,155,26,20,314
7074.89497082523,250.541817171437,207,12,1,564
7090.29734513274,897.384660766962,105,8,2,193
7092.140969163,749.546806167401,205,1,1,668
7160.39733629301,467.608953015168,165,2,2,417
7161.00736842105,827.725263157895,99,7,2,192
7159.66371681416,557.250737463127,163,0,2,535
7185.67645665561,907.561819043108,55,10,8,153
7197.53694581281,372.201354679803,227,3,2,542
7331.3322147651,824.296644295302,120,5,0,273
7374.67049808429,141.122605363985,168,1,1,406
7398.67770419426,760.502759381898,129,1,0,169
7433.65214711321,453.55372919663,245,2,9,246
7558.56254367575,43.4259259259259,169,0,10,77
7609.82489959839,513.986613119143,196,15,31,80
7691.16982622433,725.132859399684,96,1,16,6
7775.88269073011,193.716981132075,169,1,8,48
7766.69440559441,65.7909090909091,171,1,5,4
7825.54578005115,333.831202046036,150,1,8,139
7936.35395597858,387.771961134245,176,5,9,145
7903.87386363636,298.297159090909,164,24,11,180
7945.56571428571,98.8846753246753,287,6,6,225
8070.12295302013,82.455033557047,539,4,5,179
8061.89312344656,626.853355426678,127,2,7,3
8098.08975217683,367.210314802411,307,12,8,79
8131.06577974871,449.160384331116,198,7,8,30
8267.36983398093,570.175203108442,197,1,2,67
8401.32975363234,405.050221099179,362,1,6,699
8526.09487179487,229.093162393162,214,1,9,657
8515.51135005974,513.393866985265,88,1,3,277
8606.87665032063,475.63221425877,165,3,23,504
8657.99302595893,187.727237504843,155,1,4,415
8686.27697841727,379.69928057554,198,5,4,498
8774.2737920937,150.436676427526,114,0,0,343
8849.30490566038,370.957735849057,176,1,10,413
8889.08909682669,740.086655817738,219,2,6,480
8940.46153846154,426.920384615385,178,1,12,450
8938.84254498715,21.8926735218509,114,0,1,341
8961.96729602158,191.214093054619,77,3,10,427
9009.61660929432,602.907487091222,173,0,3,408
9022.92133271633,804.633040259139,75,1,4,172
9063.1505532378,685.450571376746,70,0,6,489
9065.11547085202,77.8094170403587,59,1,4,268
9104.21952131638,255.166043380703,136,3,5,575
9145.52304009575,555.635547576302,112,1,4,395
9240.11927330174,374.282385466035,193,1,1,553
9254.61635220126,232.581132075472,213,2,4,687
9245.93049568966,620.375538793103,105,2,0,417
9319.21397379913,604.275594371664,110,0,0,278
9336.70992963253,502.285770132916,109,1,1,215
9430.07066824364,533.465700768776,105,0,0,400
9427.6735340729,128.290015847861,251,8,4,624
9481.43427316002,370.691321860125,197,7,2,566
9494.67552083333,482.446354166667,110,1,0,329
9622.74942396313,20.647465437788,152,7,0,405
9693.37731061979,580.710764769844,246,4,0,476
9764.20618556701,422.428138265616,341,15,2,762
9904.61405486659,147.38632093198,264,2,1,695
9917.8035450517,702.794682422452,180,1,1,349
9939.93995381062,854.118552732871,181,0,1,501
9930.1393852752,634.003931379557,244,0,1,509
9934.32417910448,477.80447761194,303,6,2,596
10212.2825602593,435.813044358922,398,1,4,600
10211.8856635071,370.775177725119,368,1,0,557
10265.6203573108,821.681241184767,167,1,1,551
10304.583097868,413.340868225019,453,0,1,639
10451.8948805461,749.729692832764,163,0,0,502
10518.8056801196,755.920777279522,165,0,0,454
10562.0184162063,241.123914759274,412,0,3,655
10628.1216179284,533.177097567641,133,2,0,480
10674.109532539,948.712343415826,147,0,1,515
10669.7911294482,784.973697782362,108,1,0,275
10681.8755622189,703.00299850075,96,0,0,304
10779.9995287465,739.544769085768,104,0,0,284
10990.0845706908,957.457069076824,75,3,16,331
