Xpos,Ypos,TXNRD1,EGFR,LOXL2,GAPDH
24796.7243387124,274.517384794543,543,62,259,903
25071.3826572284,706.281377620474,293,45,103,622
25249.2011473646,928.248476156328,396,64,146,1004
25383.9042022792,770.235042735043,328,25,63,581
25499.9918367347,770.290670553936,271,50,78,508
25513.6821129211,430.473034951763,513,71,82,972
25841.0390185722,242.615607428864,250,25,69,538
26049.7644899536,748.353361669243,125,15,44,326
26459.5579710145,232.565031586771,94,7,90,896
28069.0683555449,810.087045263537,315,122,280,1490
28866.8922749823,122.713678242381,97,10,11,710
28733.8743154051,340.741749754248,221,23,20,874
28849.9429551122,229.162094763092,160,18,13,422
31670.9449450441,588.25190612932,382,71,99,948
32786.407594381,558.24517120281,88,22,41,313
33091.4008544861,52.6164865544107,220,14,50,520
33203.1356410256,947.560769230769,94,33,38,404
33491.9457771936,17.1938876109103,291,48,138,1059
33580.139826551,640.459106070714,125,29,119,651
33934.9229772531,695.210768787791,204,41,73,1181
33904.6280566281,202.811776061776,150,32,166,626
34273.8566931289,670.385573501232,112,22,109,587
34446.5711419974,661.764866026651,103,26,99,370
35436.3836243916,938.055253363871,177,8,7,630
35453.6223824236,869.679368348781,110,5,1,246
35609.7805413314,878.106254572056,263,29,13,419
35779.2081086108,913.915008368979,218,49,30,608
133.97868993135,1874.49656750572,557,29,121,766
473.631740051801,1306.30303743819,301,12,155,487
602.948337718249,1617.86893087778,153,15,57,278
653.299677270632,1276.48109727985,587,26,278,935
816.091396332863,1461.41212976023,200,18,205,403
1171.83794114567,1662.78914022411,19,8,3,99
1171.16336044436,1721.06833961516,38,12,3,115
1172.4280334728,1600.47782426778,53,10,7,383
1217.41379310345,1662.31034482759,22,4,2,144
2326.30435468602,1648.66503628905,110,46,61,493
3526.59936346276,1819.96982813495,142,33,68,562
4000.68864598025,1694.47378937471,377,45,260,529
5603.61759127549,1241.50213371266,213,16,125,573
5793.75938009788,1649.10787112561,327,7,71,417
6429.29349039058,1572.75040297582,426,51,113,1011
7687.78088235294,1144.39068627451,166,10,54,843
8544.50854353133,1516.16924328723,72,14,5,554
8422.85337452472,1334.17918250951,80,29,10,659
8505.95470383275,968.489547038327,346,31,6,527
8542.11641991925,1408.51736204576,65,22,2,405
9070.6570230608,1412.73878406709,99,7,26,546
9563.67125214944,1231.98155385337,122,142,169,708
9584.98354609929,1452.91574468085,78,26,46,455
9776.06686260103,1187.11021307862,27,86,88,419
9769.85139611926,1115.65641268339,71,67,107,702
9978.54867503487,1420.7539748954,75,22,32,428
10055.3681832849,1692.87189415941,85,20,28,239
10102.4117307137,1047.50274487142,71,40,130,953
10202.8461538462,1308.75562130178,102,26,65,635
10258.3805584281,1016.928300586,40,6,20,217
10804.7707631874,1345.55359147026,175,43,60,677
10935.9605046626,1413.41963795941,205,34,53,544
10963.3830911493,960.67415235579,106,13,83,480
11070.5341701534,1179.73082287308,164,44,179,445
11298.736653825,1712.14226747386,117,6,23,210
11294.3872802482,1039.2880041365,219,29,140,649
11673.0522889115,1237.71820956256,284,35,200,836
11766.0511731844,1465.59776536313,342,36,127,708
11791.8789161727,1737.99153259949,93,26,11,332
11921.7547934107,1635.18444504456,180,32,75,410
12203.4651696245,1503.97114572015,84,19,18,40
12295.6679194631,1734.13073825503,20,4,9,25
12626.5974816369,1030.65099685205,150,28,30,329
12664.8267765511,1470.27896128129,67,20,9,91
12806.0779394548,1918.15437364108,255,41,143,1256
12840.2980539433,1673.96176169341,31,18,26,34
13406.5592190889,1804.00759219089,243,17,54,462
13517.8583836858,1566.31174471299,273,13,59,422
13676.331127156,1102.93361411953,881,54,413,1854
13860.4829076621,1237.90117878193,339,56,407,711
14847.5301455301,2221.61347193347,78,30,28,139
14815.5305466238,2074.01071811361,132,59,52,406
14843.6856474259,1194.74083463339,594,41,139,880
16257.2646420824,1264.77758496023,219,111,36,1214
16352.4426424994,1176.80050083472,106,69,18,1111
16413.349469496,2145.32029177719,62,64,90,772
16442.677104514,2076.90361935746,52,33,35,809
16520.7139479905,2097.0780141844,47,73,48,328
16595.3626430801,2115.79331425598,89,93,80,475
