Xpos,Ypos,TXNRD1,EGFR,LOXL2,GAPDH
21293.9495507947,479.798203178991,119,2,254,659
21457.9925968109,1039.33769931663,227,0,313,583
21547.448400998,940.032433658426,68,0,135,237
21506.2782960549,985.686748342138,48,1,92,176
21483.6930120482,894.082409638554,25,5,6,149
21500.2164086687,143.71826625387,55,1,23,287
21621.3022984028,792.751071289443,133,0,116,585
21658.2860377358,31.8184905660377,83,4,66,273
21757.7790933694,389.508119079838,55,15,44,254
21754.3344352617,1350.22258953168,116,2,73,610
21754.1821236559,20.8655913978495,89,2,28,277
21792.4727730563,582.944287063267,37,2,29,409
21999.1130063966,398.686567164179,61,8,35,489
22008.1100406765,709.63862128024,296,5,514,1220
22144.0338537641,550.761168650487,278,14,276,769
22211.6043165468,1005.9560567762,216,7,84,461
22220.843350864,1012.34147257701,200,9,74,650
22224.8412162162,877.778378378378,113,1,41,113
22272.3024585477,793.455688965123,171,9,31,37
22463.5395985685,516.891395674498,119,8,169,73
22577.3399048266,632.550305914344,114,8,50,29
22607.700979503,295.646109196445,177,16,363,364
22723.9839556871,580.181644542069,194,4,60,76
22758.4927835052,355.571821305842,313,15,140,316
22784.6800648298,813.187358184765,325,13,46,281
22801.2379252415,457.658966820664,115,9,48,50
22972.6429551244,656.763472467176,177,7,136,120
23089.4822303922,434.077818627451,117,15,163,75
23171.2544893887,1081.85389080356,36,1,27,80
23373.8963354242,975.909045889733,230,10,308,700
23889.8975308642,958.656296296296,56,0,50,366
23903.8754813864,1067.4663029525,163,6,91,744
24089.1953010279,731.848961611076,100,2,134,477
24144.1264921063,41.2762803234501,129,5,135,1211
24162.7910895099,779.302956662616,197,11,316,701
24201.3090007087,497.299551145759,353,5,402,1548
24245.9179056238,663.093406593407,140,2,146,486
24330.0562043796,769.11204379562,166,0,281,538
24454.6127115592,574.198415556356,310,4,97,1182
24538.6364618015,522.467920453523,275,6,146,1043
24522.3773900574,120.112810707457,81,3,112,711
24515.8978883425,218.260919872722,461,2,80,1256
24521.3291880029,884.671909290417,205,3,95,1035
24789.6882186616,226.471253534402,93,6,166,882
24759.3336,327.992533333333,64,3,141,361
24790.6949503924,694.343551014364,352,11,433,966
24839.0633063306,418.934593459346,189,9,148,834
24916.531870229,608.622900763359,140,2,57,459
25143.2712264151,964.492508324084,241,4,338,915
25759.8732503888,941.139968895801,188,2,323,796
25893.0842428377,721.483628922237,34,0,10,196
25920.9812666014,221.723053264365,118,5,59,362
26004.7675230731,742.844724370167,85,0,10,142
26054.6074677529,297.519348268839,209,1,108,575
26147.0658019614,116.714330907941,170,10,127,677
26164.4759336659,513.353781852501,130,5,58,477
26306.2132516704,342.851336302895,145,5,107,912
26305.1619836851,174.11562864172,175,12,310,853
26403.0299003322,804.760797342193,279,1,51,446
26453.0543710021,900.043176972281,337,7,192,796
26606.761845039,641.111064659978,189,2,336,833
26650.601650587,417.868766709287,147,8,231,903
26671.8874101677,31.0255523023689,258,10,237,892
26738.9748489532,240.647463819025,307,9,280,864
26767.5246717972,658.088048890901,103,4,229,480
27738.5138339921,719.29117259552,0,0,0,20
27758.6244695898,866.126591230552,0,0,0,14
27766.8876936317,871.16265060241,167,5,60,2
27799.7513958272,459.61915956509,0,0,0,40
27862.9264770241,764.609628008753,4,0,0,16
27878.619582164,321.226691612099,0,0,0,50
28015.5616983636,78.1636444051305,1,0,0,31
28030.4955882353,224.7125,0,0,0,46
28080.908765653,537.70885509839,0,0,0,25
28156.0982926829,466.645121951219,16,0,10,98
28302.0932659933,575.118518518518,0,0,0,40
28331.1982890315,330.396578062939,0,0,0,27
28396.5470905819,937.067186562687,233,6,120,15
28414.6916572717,62.0169109357384,0,0,0,39
28498.8411863694,348.075936053849,34,1,11,67
28521.8282668772,563.205684958547,82,0,15,160
28527.6139240506,185.631555153707,33,0,8,119
28586.9903883122,841.906189926951,6,0,3,37
28770.3730490218,203.206858650253,593,1,150,1044
28880.5488785442,417.939483707152,687,6,209,1256
29172.0400742115,159.240816326531,749,9,235,992
29217.8043478261,700.697028068244,10,4,8,68
29327.3416594889,268.508182601206,123,2,55,279
29493.2404616864,554.956716896441,9,0,56,90
29710.0730296457,784.803326102675,9,0,20,44
30046.6235731351,65.2442261746748,23,0,56,94
30720.6507498027,795.509471191792,20,0,16,52
31010.9747081712,246.01980898479,51,11,23,164
31571.7804587429,169.438784629133,39,1,36,49
31710.9437189055,232.517412935323,41,4,79,77
32178.7866516685,241.234345706787,111,3,147,103
32895.2906626506,637.86671686747,7,2,40,58
33905.0870821296,928.477919933966,41,1,142,145
34088.0127627628,628.508633633634,35,3,131,133
34574.2477317554,736.959763313609,12,0,0,89
34657.8963623885,511.344200411805,15,0,1,89
34898.0944309927,496.213983050847,18,1,2,110
35468.9357277883,88.6885633270321,16,0,69,100
35562.9150251947,35.0593220338983,24,1,39,65
35633.5692807802,98.2860625761885,18,0,50,105
35664.2431372549,217.6968456948,64,5,104,205
35758.8505203406,765.840428886787,197,7,87,671
35900.8445624825,325.872798434442,222,9,142,594
35906,910.004963600265,121,5,71,480
35997.6628416441,383.485916962237,150,10,160,555
36084.0654654655,295.375975975976,168,5,84,406
36105.9583748754,869.829511465603,147,12,79,545
36121.9006016218,38.4951608684279,75,8,65,380
36160.6742120344,243.310315186246,141,4,81,482
36361.5610813568,782.067074725835,148,5,76,591
36390.5524668169,440.84973703982,94,5,154,657
36475.6686334671,302.1038470616,109,15,93,429
36540.8561056106,217.305940594059,163,6,57,466
36590.0651541594,887.686736474695,172,9,98,450
36583.7869325006,556.685323084314,118,9,58,795
36592.1975273953,105.978364709188,201,14,73,782
36613.6330097087,215.559546925566,226,11,93,603
36771.8371302278,818.955117307038,42,1,3,236
36787.130958231,252.04226044226,296,7,96,709
36788.6536119568,411.436202601716,173,6,75,761
36921.41511772,308.644981412639,176,6,89,415
36928.9154742097,450.161064891847,210,13,91,715
36951.8980601742,847.981591448931,119,5,133,594
36956.7606365703,149.868788567717,178,6,69,773
36982.6874396135,697.010144927536,95,2,38,533
36997.3621025308,276.934133679429,146,1,91,384
37034.2579814624,48.1596292481977,88,2,57,369
572.021723646724,1687.27314814815,69,7,29,338
1103.47565543071,1361.34232209738,46,4,266,264
1473.44659498208,1011.59068100358,74,1,211,179
1786.21711568938,1769.87599049128,27,0,75,107
1869.34960864704,1256.14424152069,46,0,52,101
2634.81639811466,1711.02915707552,79,5,12,225
3120.72777232581,2078.46123650638,2,0,41,35
3833.14069132808,1581.63371740449,7,2,27,77
4173.74173868836,1484.1743772242,10,1,64,142
4286.61922963834,1283.12202293443,143,2,161,498
4378.96345748419,1163.38838135395,826,17,370,1783
4922.21624382769,1687.33321981951,727,2,424,1645
4927.95676691729,1267.11361737678,622,10,263,992
5117.73301316258,1823.83671291355,762,3,546,1592
5131.69613152805,1181.03791102515,470,7,289,903
5273.74309815951,1361.28713847502,696,16,429,1329
5277.23718309859,1534.81352112676,372,3,142,1206
5345.1509013571,1120.90642090338,561,11,459,1485
5337.63745349318,1885.27490698636,400,6,201,613
5441.06341353722,1575.39307398246,447,3,181,1266
5476.16520467836,1830.88834064327,678,3,241,1280
5723.50147958177,1483.54941803117,396,5,269,1694
5759.24186503603,1040.31240445512,224,11,236,1349
5775.59296028881,1784.1475631769,751,1,502,1663
5804.42446043165,1216.79876670092,346,5,180,1567
6001.85977793696,1475.39505730659,437,1,161,1430
6065.43953090643,1746.17737600782,440,1,30,794
6084.64362439362,1069.05405405405,317,5,354,1511
6176.75842490842,1197.79395604396,351,1,286,1404
6166.16302118934,1783.02973342447,192,1,21,305
6185.79280855199,1605.51117589893,303,1,34,778
6242.91497659906,1456.19461778471,202,2,88,914
6305.8653250774,1840.6633126935,344,0,66,556
