Xpos,Ypos,WNT5A,NRG1,GAPDH
22887.9924935491,1372.1855500821,0,1,160
22906.3834296724,1992.9283879255,0,4,1021
22964.3748688353,1624.28819517314,0,1,496
22991.9098029308,1253.12645275392,0,0,255
23003.1266579974,1408.37529258778,0,2,175
23036.2450347567,1482.30287984111,0,0,217
23120.3238546603,1745.12804107425,0,3,712
23146.5321339804,1288.61451059297,0,1,216
23114.2324699937,1438.14087176248,0,1,135
23239.8197079567,1426.37319956293,0,0,201
23274.9159327462,2128.02241793435,0,1,336
23381.9474907063,1412.55018587361,0,0,207
23530.4038461538,1633.30824175824,0,0,136
23212.6127788488,1411.25984577251,0,1,191
23207.4046206681,1539.87043396815,0,2,387
23356.0355877946,1641.33295872497,0,0,682
23348.5231636901,1432.56747683631,0,2,281
23376.8673089926,2036.77121365788,0,1,621
23420.413091922,1343.4469823584,0,3,429
23376.1428571429,1837.96302521008,0,0,379
23499.5472740851,1782.84690067214,0,4,205
23568.7356794246,1625.84048291806,0,2,185
23551.3787700744,1567.71327849589,0,0,325
23600.5711977378,1282.58372046051,0,0,265
23568.329495614,1487.83717105263,0,1,402
23593.3976572133,1693.83538840937,0,1,279
23654.5727655592,1777.26719700515,0,1,349
23696.6351555421,1411.55904560556,0,1,303
23828.4869750133,1524.12268433321,0,0,406
23822.1780875822,1282.23373995166,0,1,244
23717.2255418863,1906.23081429408,0,2,147
23742.703196347,1834.91095890411,0,0,139
23744.0626262626,1094.4197979798,0,0,123
23813.0296577947,1000.92601846822,0,0,252
23872.2200524628,1129.118915768,0,1,187
23888.8169729207,1357.77828820116,0,0,439
23902.4781445138,1830.67885816236,0,0,187
23901.4233128834,1661.81365030675,0,0,152
23909.1623100304,1917.52948328267,0,1,379
23980.7367664358,1696.78264279179,0,0,280
23953.8936269916,1181.74695407685,0,1,188
24001.0006523157,1807.63057186345,0,0,249
24007.7394331179,1583.90850323222,0,0,228
24011.4083590271,1104.52997601918,0,1,142
24193.1073056548,1308.9093261057,0,1,116
