Xpos,Ypos,NGFR,AXL,LOXL2,GAPDH
5421.95311667555,723.9778902504,0,0,0,195
5446.70294117647,669.191176470588,0,0,0,174
5501.93050091791,185.310516653554,0,0,0,211
5482.16005567154,262.080723729993,0,0,0,90
5497.40041493776,551.183817427386,0,0,0,134
5525.75844594595,41.2677364864865,0,5,0,204
5519.54487179487,661.2849002849,0,0,0,158
5577.13990576296,387.149329467198,0,0,0,229
5585.65787159191,791.423922603342,0,1,0,145
5792.56749311295,411.406795224977,0,0,0,129
5822.73212882954,340.958366064415,0,0,0,155
5842.93009284544,442.590387766248,0,0,0,223
5963.79202988792,693.943337484433,0,0,0,195
5582.22447221025,559.246014648858,0,1,0,267
5609.61321989529,725.390706806283,0,0,0,111
5651.14648888889,646.228266666667,0,0,0,364
5679.28795310444,195.585715994736,0,0,0,473
5680.93636972538,485.826188881447,0,0,0,231
5703.56002713091,819.749265204612,0,0,0,282
5706.55631789594,406.123499142367,0,0,0,158
5751.44636795655,575.391717583164,0,0,0,294
5754.59911406423,285.241417497231,0,1,0,205
5816.55812253253,403.589998537798,0,0,0,65
5795.23071161049,502.169288389513,0,0,0,210
5790.02527543746,647.222294232016,0,0,0,404
5824.47420867526,64.0293083235639,0,0,0,206
5841.44918636782,804.563401903592,0,0,0,163
5844.50077220077,145.872972972973,0,1,0,160
5942.16216691584,557.502066660804,0,0,0,634
5901.36651917404,794.045722713864,0,0,0,106
5927.4175715696,31.5593945376769,0,0,0,143
5974.40828651685,673.325561797753,0,0,0,262
5996.8302679979,816.933788754598,0,0,0,99
6038.4120795107,48.5405198776758,0,0,0,171
6025.24118738404,1070.48237476809,0,2,0,119
6142.92290182106,704.581452889945,0,1,0,578
6098.60379346681,814.461538461538,0,0,0,232
6093.0495545657,592.164810690423,0,0,0,334
6164.25786475105,949.315333168194,0,0,0,193
6161.89569049951,571.293829578844,0,2,0,468
6237.57961690306,63.4581079105132,0,0,0,398
6294.51509158139,446.21841946857,0,6,0,529
6246.11071932299,257.431593794076,0,0,0,141
6336.53407934893,600.793489318413,0,0,0,538
6355.68271209696,768.264692430826,0,0,0,445
6321.197858473,239.230912476723,0,1,0,314
6322.03665373006,901.975420439845,0,0,0,126
6317.04262516915,1162.54262516915,0,2,0,154
6398.7927230047,137.792253521127,0,1,0,766
6410.74454916303,338.935574623716,0,0,0,414
6401.62476117692,516.372564004585,0,0,0,522
6486.90984251969,730.979921259843,0,0,0,191
6464.74343434343,315.266666666667,0,0,0,280
6548.92372650504,598.818850449469,0,0,0,107
6785.79244652406,474.695855614973,0,1,0,187
6507.67156862745,634.032679738562,0,0,0,282
6566.94788821181,502.989703719269,0,0,0,296
6581.92726373083,263.80009896091,0,0,0,437
6561.04966059307,587.209360485888,0,0,0,155
6586.5253164557,380.314873417722,0,0,0,190
6619.51072169703,769.363384828222,0,0,0,229
6701.55725828922,106.848147116188,0,0,0,842
6685.70730406966,406.815709969789,0,0,0,334
6705.84870848708,542.146020031629,0,0,0,359
6747.3344145814,701.502625888168,0,1,0,391
6749.26661687827,329.505601194922,0,0,0,262
6797.74156607861,56.2835035592696,0,1,0,445
6781.94610923151,454.019574673755,0,0,0,151
6908.68251881945,434.35942167523,0,0,0,398
6883.54916985951,573.933461047254,0,0,0,540
6898.76309794989,266.835079726651,0,0,0,294
6999.48131746471,666.380016606698,0,1,0,507
6949.64070032987,90.6120274042121,0,0,0,615
6974.03191800878,376.663250366032,0,4,0,486
7023.92824799721,187.677115987461,0,1,0,401
7064.44122051666,794.30082366155,0,0,0,329
7145.48233295017,489.265230646209,0,2,0,688
7153.33742546475,176.502279901789,0,0,0,359
7162.58565153734,681.445095168375,0,2,0,468
7216.23808371643,264.224534236632,0,2,0,644
7210.24135352402,474.839596186203,0,8,0,367
7209.814000814,94.9059829059829,0,2,0,604
7302.96994109494,799.900727650728,0,0,0,588
7319.43633540373,342.352225672878,0,1,0,408
7287.80037664783,411.225047080979,0,2,0,303
7365.6407239819,116.095475113122,0,5,0,787
7407.96519317786,522.727114514445,0,1,0,306
7370.73959183673,614.867755102041,0,0,0,333
7405.55707395498,672.359726688103,0,0,0,285
7437.29097963143,847.235531846104,0,0,0,451
7478.41096634093,372.256786102063,0,0,0,56
7522.04565619224,445.286691312384,0,0,0,292
7452.53079416532,376.042139384117,0,0,0,254
7481.05397923875,528.431833910035,0,0,0,234
7493.9953271028,679.376168224299,0,0,0,190
7506.31386861314,368.874869655892,0,0,0,101
7540.27997407647,299.449125081011,0,0,0,364
7595.29127413127,771.846486486486,0,0,0,284
7631.92561983471,135.307438016529,0,0,0,782
7691.46794783802,275.880027453672,0,0,0,452
7657.13822894168,915.830993520518,0,0,0,257
7675.45898004435,685.118994826312,0,0,0,113
7742.87546531303,140.279526226734,0,0,0,309
7807.01398156975,297.129647283127,0,0,0,382
7796.73398413667,44.4338010982306,0,0,0,393
7922.31985294118,49.7834079283887,0,0,0,457
7918.82621337508,284.491836278238,0,0,0,641
8106.72991944764,286.254372842348,0,1,0,654
8046.41893102419,208.140041803523,0,1,0,381
