Xpos,Ypos,LMNA,KDM5B,GAPDH
10800.9992159937,263.750294002352,154,3,923
10812.6587030717,788.589685248388,107,1,477
10836.0596951736,639.362404741744,81,3,467
10929.9320619785,95.1093138089562,72,4,966
11096.8893214683,205.731368186874,140,5,1140
11104.3743489583,641.8115234375,113,5,710
11228.8236966825,895.139020537125,102,7,566
11570.9509844994,155.670925848345,156,1,1363
11654.5382743363,50.8610619469027,28,0,330
11677.5945793337,186.472049689441,194,3,1397
11775.4467571644,938.219607843137,159,2,751
11879.4260700389,885.54513618677,50,3,318
11910.9710796915,40.663881748072,55,0,531
11955.4264981273,475.482209737828,51,3,493
11996.3564196963,799.048320294524,23,3,214
12021.1180147059,704.674264705882,57,1,275
12098.2243557352,668.359777665488,67,1,137
12158.2541337168,618.652767792955,83,4,205
12199.4488888889,926.592355555556,92,4,326
12295.4,574.418160651921,91,2,327
12455.2663162505,637.786684187473,141,7,478
12629.5978428351,569.097072419106,117,3,407
12985.2055837563,87.4928087986464,143,1,654
12996.615942029,395.712433257056,73,8,416
13275.8686421937,228.474126492702,126,1,497
13409.6552411319,467.129932243922,143,6,472
13424.120508326,104.103418054338,38,2,311
13454.5816151203,895.798969072165,153,5,459
13539.6762367491,939.510159010601,55,1,296
13591.9008341057,404.142261353105,87,3,540
13854.9028021016,713.141418563923,88,1,309
14037.0785063217,73.2563951778889,143,1,466
14156.8267045455,60.0930397727273,47,2,165
14327.768247203,41.8577517314864,77,0,334
14764.6341118188,15.7579617834395,43,1,214
14775.5313105229,730.050355067786,74,1,283
14808.9008704062,635.853481624758,59,3,236
14929.7685979971,503.499642346209,127,4,488
15112.9186813187,703.807417582418,66,2,202
15166.850996852,75.5241343126967,65,0,459
15458.679888933,384.368107893693,347,13,1013
15775.844837587,148.336426914153,186,2,682
15869.3206419132,111.335116425425,104,4,402
16311.5156361052,438.111940298507,114,6,630
16945.3168908819,832.418908819133,139,4,528
17004.9357321532,533.913604002309,114,4,603
17008.3814266487,317.952355316285,57,0,337
17011.4440934934,612.780795957044,110,6,498
17093.3293807642,99.3513394817743,11,0,300
17135.6127192982,560.896929824561,148,2,662
17285.2465252377,562.406486222872,83,3,504
17310.8471744472,72.4722358722359,49,5,474
17377.629688747,52.3631284916201,51,1,335
17390.8084953204,471.228941684665,25,2,245
17715.5323163388,398.745885186672,137,8,350
17802.1938857603,308.991686779297,99,4,494
18001.2878969443,575.091372079089,107,12,541
18348.0930795848,233.120069204152,94,3,513
18668.7446000475,369.122240683598,101,3,556
18615.137866165,495.165009406074,207,13,597
18673.5844136712,381.376694166176,50,4,273
18685.7695807205,564.331366039592,438,13,1116
18836.9957356077,133.513859275053,75,3,621
18915.2419080068,160.816439522998,53,2,378
20182.9237990061,417.659304251795,77,4,317
20180.2425307557,159.854130052724,21,1,256
20218.349818385,746.65325509919,115,4,540
20309.7602024676,788.020246757355,76,3,461
20357.3754299754,502.502702702703,56,5,258
20370.1445270988,186.128232376904,62,12,313
20376.7098505174,900.430816404753,40,1,331
20386.1081708449,283.643918291551,33,5,197
20402.174789916,53.1064425770308,33,1,161
20447.0893831305,373.915232899706,74,3,274
20559.9536058797,34.8750574184658,38,7,247
20604.1820809249,671.431599229287,74,3,272
20602.8769324038,919.794786298878,123,3,745
20728.3341810783,32.4354018311292,55,2,341
21319.6174230886,886.544319220225,37,1,285
21459.9925903057,375.661932695276,61,1,368
21465.7976064766,889.176346356917,42,5,153
21577.9510655091,868.028413575375,52,4,233
21802.0359037128,845.084455324357,237,4,601
21849.304106023,678.316648917288,218,1,838
21896.5731832139,34.9222108495394,22,0,566
22048.5794676806,16.3300380228137,14,0,378
22375.2422774076,258.469412477286,122,11,533
22516.8000708968,850.124423963134,81,0,352
22610.7931158121,543.661885980638,86,1,334
22706.2981757877,880.147595356551,73,3,465
22935.6911121904,646.665128703254,91,7,503
22949.2102222222,890.562666666667,100,8,402
22988.6723163842,792.130970724191,52,4,249
23099.8972188634,834.424425634825,55,4,483
23251.6575218571,785.71269219174,48,4,374
23417.2845111681,285.96503112413,166,7,1020
23398.7369614512,13.1428571428571,20,1,340
23416.366307947,129.076986754967,64,2,684
23518.8885267275,451.587353324641,122,5,643
