Xpos,Ypos,CYR61,EGFR,LOXL2,GAPDH
3063.41051410901,517.448975647468,0,0,0,47
3080.74477172312,231.531811487482,0,0,0,1
3069.42077020202,415.920454545455,0,0,0,9
3079.59840425532,604.353723404255,0,0,0,28
3112.4928343949,679.048964968153,0,0,0,51
3157.11747052519,317.380493033226,0,0,0,1
3177.74933333333,554.791238095238,0,0,1,108
3197.54654752234,448.924776604387,0,0,0,6
3230.67124166239,687.776552077989,1,0,0,63
3202.4,804.387368421053,0,0,0,31
3212.63049450549,55.8434065934066,0,0,0,0
3260.92764378479,288.953246753247,0,0,0,5
3282.28331177232,372.12936610608,0,0,0,7
3275.33753148615,545.432619647355,0,0,0,61
3333.30778164925,698.812775842044,0,0,0,50
3338.27013717904,593.211044671122,0,0,0,22
3365.61568373299,918.081335061568,0,0,0,3
3367.89685571554,203.459006758742,0,0,0,0
3389.67408829175,319.896737044146,0,0,0,15
3374.81048529933,788.653205809423,0,0,0,1
3470.65232529222,850.853021636409,0,0,0,8
3556.89417280643,749.180341594106,0,0,0,3
3495.86064068557,1165.69700061212,0,0,0,3
3485.37658592849,141.780565167243,0,0,0,0
3505.47131270652,326.255331931511,2,1,0,15
3593.36596119929,81.8322310405644,0,0,0,0
3557.66265060241,959.252377932784,0,0,0,0
3569.72340425532,883.756941940137,1,0,0,15
3641.93733198925,524.407090053763,0,1,0,4
3609.48489287676,633.907892327413,0,0,0,0
3661.10474422921,388.76580443104,0,0,0,23
3620.04397394137,267.34006514658,0,0,0,4
3643.75324675325,861.665879574971,0,0,0,1
3722.51273532669,309.094352159468,0,0,0,12
3781.38866559486,498.032154340836,0,1,0,2
3827.02110712863,1243.12385503783,0,0,0,0
3922.75864792292,278.860053703996,0,0,0,32
3939.89811066127,1204.41070625281,0,0,0,0
3646.59799403632,958.451070750881,0,0,0,9
3666.94852941176,179.095588235294,0,0,0,8
3685.13465195892,30.7063522251807,0,0,0,2
3711.50115406809,661.075879976919,0,0,0,1
3753.90943219146,234.109807602065,0,0,0,25
3761.81543487138,748.715802368314,0,0,0,42
3767.73688212928,114.678136882129,0,0,0,17
3776.89168697536,819.391010018955,0,0,0,16
3805.24101694915,629.04,0,0,0,6
3832.69896373057,386.019689119171,0,0,0,6
3852.51125501079,486.675609004009,0,1,0,31
3875.77506234414,822.085536159601,0,0,0,42
3892.1244622885,986.734298824204,0,0,0,1
3957.9111822947,297.014754416618,0,0,0,47
3916.5101201771,682.458886780519,1,0,0,66
3968.32340052585,875.328074788197,2,0,0,57
4002.64852365706,448.029348986126,0,0,2,13
4069.95421515599,706.216248702399,0,0,1,65
4087.54696969697,228.310606060606,0,0,0,1
4105.68245931284,107.515732368897,0,0,0,17
4130.02174742465,376.843189622282,0,0,0,15
4134.12169066419,22.381328379006,0,0,0,0
4198.16215274754,210.218148567448,0,0,0,0
4165.8985915493,707.424295774648,0,0,4,26
4218.40741444867,517.898479087452,0,0,0,11
4183.19202518363,807.173837005946,0,0,2,94
4206.74100719424,875.922661870504,0,0,0,43
4242.86473928756,37.5167785234899,0,0,0,0
4257.80885808271,641.144619360902,0,0,0,100
4298.22977785315,1278.82092589452,0,0,0,7
4306.10354845404,349.327246316663,0,0,0,11
4305.14263724987,771.939456131349,0,0,3,7
4292.25458180606,140.214595134955,0,0,0,10
4388.06919077456,263.280629249433,0,0,0,1
4467.38616389995,604.97115601292,0,0,1,39
4374.50261149056,112.998794696665,0,0,0,2
4430.10409652076,525.904320987654,0,0,0,8
4414.43066516347,756.143461104848,1,0,0,28
4419.72540381791,24.1556534508076,0,0,0,2
4487.71912611198,166.491104133961,0,0,0,23
4457.51066961001,377.44076526858,0,0,0,6
4474.37203280104,61.7350021579629,0,0,0,1
4486.50412821758,440.82564351627,0,0,0,21
4555.02917515821,758.546926954843,0,0,0,35
4663.83870032963,330.738472126635,0,0,0,3
4570.99543419875,408.088719785139,0,0,2,6
4553.5761589404,984.284400294334,0,0,0,2
4561.22859450727,691.301292407108,0,0,5,18
4559.5,318.214285714286,0,0,0,8
4646.40917843389,106.199101412067,0,0,0,6
4722.19837111288,281.765235220412,0,0,0,5
4679.74503419082,547.764246173885,0,0,1,9
4667.25022644928,1019.24615036232,0,0,0,2
4686.1311560394,677.38310005184,2,1,2,35
4765.25995686556,873.022861250899,0,0,0,5
4774.05681818182,956.081818181818,0,0,0,0
4788.77198790845,417.836764070822,0,0,0,17
4819.69901920719,35.4527993461381,0,0,0,3
4838.35992559678,596.773070166374,1,1,5,42
4877.83297431649,311.112676056338,0,0,0,12
4943.50773259144,507.737746501923,2,0,1,66
4902.44307944308,205.993447993448,0,0,0,0
4938.05726280437,115.892863140218,0,0,0,1
5019.69948275862,707.119396551724,0,0,1,68
4951.31234256927,239.245591939547,0,0,0,1
4994.68465288284,345.940662296184,0,0,0,15
5038.34603124004,1151.33551163532,0,0,0,0
5045.05106048704,489.780832678712,0,0,0,7
5083.67466666667,326.040761904762,0,0,0,2
5107.46864754098,206.514139344262,0,0,0,0
5086.67071057192,425.755979202773,0,0,0,1
5092.63904582549,849.17827997489,0,0,2,8
5104.13678905688,55.9712023038157,0,0,0,6
5150.19403485255,635.475368632708,0,0,0,60
5295.32921225383,416.559810357403,0,0,0,34
5175.76083661716,870.919066383753,0,0,0,11
5177.15561959654,36.5636887608069,0,0,0,0
5206.97147758953,778.318893416256,0,0,0,30
5238.28264306039,104.940878912425,0,0,0,0
5261.79967338051,14.2384322264562,0,0,0,0
5312.42778384563,775.470588235294,0,0,0,83
5307.78372093023,180.677017783858,0,0,0,0
5347.23537061118,339.629648894668,0,0,0,30
5396.32278198841,614.131520285332,0,0,0,249
5363.36682956628,48.6371411117899,0,0,0,0
5445.38043850634,757.13874614594,0,0,0,101
5524.78045870343,864.988200981042,0,0,1,22
5556.42237934215,777.46387949585,0,0,0,62
5440.61710658202,43.0848646842633,0,0,0,0
5505.69380646566,345.223250244911,0,0,0,79
5457.18109939759,218.569653614458,0,0,0,0
5557.7326249282,636.712880528432,0,0,2,78
5534.24425524123,838.587475968141,0,0,0,48
5569.64092276831,48.1642069064336,0,0,0,0
5552.74089347079,985.145246277205,0,0,0,7
5614.07331247206,435.042467590523,0,0,0,44
5631.24442240952,518.59444719881,0,0,0,87
5681.44961655074,806.106117353308,0,0,1,127
5701.97428571429,623.694166666667,0,0,3,102
5757.96539099199,255.210555402045,0,0,0,2
5702.59465240642,889.466844919786,0,0,1,21
5725.12006812376,97.27703661652,0,0,0,5
5729.08339709258,487.096403978577,0,0,0,10
5767.00569989396,1160.16092258749,0,0,0,0
5780.21184608733,832.718115002162,0,0,1,95
5800.61777959852,331.498566161409,0,0,0,4
5850.73279589593,562.125760351777,0,0,0,89
5813.73761061947,421.195132743363,0,0,0,21
5825.44524195416,903.137994906228,0,0,0,42
5947.55294264029,273.964290158019,0,0,0,1
5897.15842609371,678.575977219777,0,2,4,128
5887.84097560976,383.27837398374,0,0,0,8
5948.43828000908,878.391422736555,0,0,1,59
5970.98528857035,138.042625424368,0,0,0,0
6103.91562789739,732.971927475018,0,0,0,76
5986.71604938272,439.965267489712,0,0,0,24
6012.58068697343,60.9915748541802,0,0,0,0
6022.32297551789,829.965630885122,0,0,0,74
6160.6917987685,1059.34979693436,0,0,0,1
6083.7205655527,606.276092544987,0,0,0,10
6083.8550207962,195.676173499703,0,0,0,0
6060.46794370602,334.033229085223,0,0,0,13
6103.85511363636,486.076704545455,0,0,0,1
6117.28184615385,831.314153846154,0,0,0,38
6162.75403726708,255.397826086957,0,0,0,0
6155.20536562203,341.307692307692,0,0,0,1
6191.4493731919,528.936113789778,0,0,0,27
6172.10481794777,26.1187936741449,0,0,0,1
6181.59724005135,430.823491655969,0,0,0,14
6246.52408293461,335.372567783094,0,0,0,11
6260.5879621361,211.13430969816,0,0,0,1
6291.25130737943,854.017431725741,0,0,0,14
6326.0104416832,603.631512999896,0,0,0,9
6321.56455142232,477.655296691981,0,0,0,12
6369.16972191046,179.122459159496,0,0,0,1
6309.98828353837,721.301113063855,0,0,0,44
6366.60185575706,317.211303247575,0,0,0,0
6558.53102031993,188.119433635971,0,0,0,0
6491.52180566182,16.7750573833206,0,0,0,0
6347.29112833764,316.801320700545,0,0,0,1
6427.32600682594,776.427440273038,0,0,0,6
6412.97453906936,317.620719929763,0,0,0,1
6438.06637058969,85.6192943498643,0,0,0,0
6470.46038705776,409.470214696099,0,0,0,0
6473.12644254892,671.75965880582,0,0,0,2
6477.35970561178,575.988960441582,0,0,0,5
6492.30544272949,239.050365556458,0,0,0,0
6577.21250684182,951.954296661193,0,0,0,0
6570.58751348436,179.036003236246,0,0,0,2
6590.52478859227,839.511192173769,0,0,0,6
6640.97269751525,300.830084808808,0,0,0,8
6602.42008528158,583.520879282459,0,0,0,4
6567.72880434783,33.7402173913043,0,0,0,0
6579.82598517362,766.189621537261,0,0,0,2
6661.30475129918,50.1046770601336,0,0,0,12
6748.04809885932,1211.79125475285,0,0,0,0
6719.32677693339,734.515869468038,0,0,0,4
6735.675748342,603.192866105037,0,0,0,1
6732.92127303183,821.789782244556,0,0,0,1
6773.81360381862,375.266109785203,0,0,0,25
6785.89386602098,59.6852300242131,0,0,0,1
6815.40855457227,714.627138643068,0,0,0,2
6898.86061801446,452.413397618526,0,0,0,20
6827.64218009479,575.821090047393,1,0,0,4
6886.83484873533,1288.21507687221,0,0,0,0
6957.37585596676,244.542125105794,0,0,0,34
6877.20261888353,785.907649896623,0,0,0,0
7020.72053413272,616.42512603897,0,0,0,8
