Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH
5675.39627906977,490.369534883721,4,189,60,578
5660.86776556777,756.424542124542,0,81,4,457
5668.28443217121,643.040041422161,0,101,0,413
5719.02686714321,868.274340645797,7,69,19,545
5727.83391153513,386.533391153513,0,68,14,266
5952.61869378178,722.806022682831,3,114,2,411
6004.53470919325,593.983864915572,7,137,3,434
6730.71056062581,366.370925684485,2,67,18,528
7009.96780684105,65.317907444668,1,67,5,620
7231.40340364334,419.517737296261,7,184,25,853
7426.84563758389,776.205117449664,0,67,3,415
7475.23139765953,526.354162066681,2,173,76,902
7511.07119095143,865.165668662675,2,47,9,224
7658.83402061856,398.350859106529,6,116,10,459
7810.48033583738,174.919575784357,0,132,0,404
7828.23281907433,399.842566619916,7,198,7,858
7921.83279613215,801.874294923449,0,114,0,494
8039.195835002,722.841009211053,2,129,0,454
8593.60740740741,830.493265993266,6,0,1,544
8649.37039791744,78.0714020081815,10,1,32,839
8941.73544303797,108.462025316456,3,1,27,768
8958.67510976022,827.999662276258,7,4,3,717
8968.54471307894,229.932129332945,3,1,26,646
9004.65390226112,593.208606856309,6,1,10,627
9074.65137614679,476.547666533706,3,0,3,506
9201.67773722628,718.518613138686,3,23,11,465
9291.05260729119,152.581910475312,2,37,4,383
9446.1113594041,92.1556797020484,5,102,2,734
9476.3079667063,498.556480380499,1,37,3,306
9617.20563171545,343.576880326047,1,144,9,439
9622.84994316029,158.99772641152,0,77,2,398
9695.29807367354,643.879013180128,5,98,23,721
9736.4446165763,926.019364833462,2,142,7,523
9794.19156414763,869.060925600469,0,64,9,393
9849.92388758782,760.793911007026,1,23,14,230
9913.44456601021,316.886943836616,0,203,1,814
9966.17262479871,190.489533011272,5,208,14,707
10093.7123442809,551.640996602492,0,143,2,623
10199.4152066116,629.347768595041,0,35,0,531
10356.1429582449,483.377211606511,0,0,0,192
10254.0413252583,36.4723904524403,2,7,11,350
10288.9973163368,514.034216705803,1,0,1,318
10298.449638759,824.938376540586,3,0,0,298
10358.7676556623,877.523192645215,0,8,3,259
10373.1831485588,233.094456762749,1,1,7,397
10568.2836551537,153.87897742725,3,1,28,723
10672.242481203,708.837593984962,4,0,10,419
10912.70681458,469.636555731643,9,3,52,856
11049.5826056584,331.647921760391,2,16,23,785
11185.2688465032,555.953375719043,0,3,2,22
11156.6971465629,551.5317769131,1,29,17,162
11208.5561440678,559.466631355932,4,18,10,119
11229.4695882131,799.29467321496,2,53,0,266
11624.0921086019,345.097437198681,19,140,22,912
11697.9617003367,242.961279461279,9,171,21,534
11806.6731156792,786.694478033051,1,109,3,444
11920.3963386728,833.05766590389,2,70,2,339
11939.6485182633,910.52033080634,0,85,2,329
11948.2487864078,663.931229773463,5,109,0,450
12009.3587212036,540.539727315468,3,60,24,338
12192.7032235459,276.051857042747,6,146,9,767
12198.9309868875,735.097653554175,7,65,11,629
12237.7958502266,543.139756737419,3,101,20,594
12322.4312819265,178.407929944053,2,134,42,817
12388.9957014459,399.517780382962,1,74,2,420
12468.2376833396,298.425347875141,0,71,2,463
12521.7933491686,631.558194774347,1,49,7,381
12559.9296585767,208.089263677499,2,115,1,660
12719.6856813598,884.435321233074,16,75,43,1198
12704.5846153846,45.9661538461538,0,45,1,319
12730.6908436214,140.629115226337,0,60,8,447
12986.0728125,546.2575,9,59,16,332
13024.9427068918,833.858566288403,3,64,7,540
13326.6424433913,246.347024749868,16,80,28,544
13451.3136456212,659.902919212491,3,52,8,243
13439.131110269,561.23417961349,8,95,18,609
13466.1984473557,58.5036390101892,0,78,0,401
13628.1183869774,712.246762856086,8,151,18,725
13673.3624277457,210.246820809249,1,80,22,505
13655.5025641026,441.163076923077,5,121,25,852
13692.2796803653,59.3841324200913,2,52,0,326
13703.4117902037,924.800173385349,3,159,7,612
13803.4994353473,873.563805759458,3,94,13,501
13827.7438066465,121.687009063444,0,51,10,497
13873.925170068,199.111459968603,1,24,16,279
13954.2934914842,225.584245742092,2,60,11,221
14166.5856287425,296.410379241517,2,59,6,459
14310.2666142352,610.148250098309,1,79,0,459
14448.6193595342,99.8682678311499,2,108,1,604
14544.8424908425,19.1333333333333,0,25,1,163
14695.7695184666,149.525479195886,1,68,5,433
14726.4420247204,57.4326074161271,0,14,6,164
14794.1717980296,426.98368226601,3,120,0,487
15017.6975848792,47.8018900945047,6,119,14,556
