Xpos,Ypos,APCDD1,EGFR,MAP1B,GAPDH
31260.4736986301,304.836712328767,22,20,20,555
31287.3028571429,81.5722448979592,19,26,16,655
31386.6032033066,156.618444846293,26,34,11,834
31612.5834230355,233.052529601722,22,25,8,795
31894.7550835969,535.520786262991,12,33,15,755
33031.7047858942,286.64483627204,126,32,9,774
33127.0469506292,369.414327202323,96,25,21,994
33244.6316618535,650.383827776319,14,6,12,518
33366.4921875,380.751953125,48,9,8,733
33380.6643258427,351.029494382022,57,16,10,560
33495.2598208132,425.638180565127,112,28,7,1253
33936.2928277752,715.271128369118,63,17,6,550
34140.0768740032,47.829346092504,11,14,2,223
34216.3900414938,422.094813278008,20,20,1,388
34233.1786183346,68.4528500131337,11,26,4,345
34300.5030241935,655.132056451613,1,12,4,398
34335.4847576212,74.9787606196901,12,29,16,720
34512.1730350426,281.356167095625,33,52,13,944
36022.0235320996,720.86474754398,5,27,5,599
36065.6164098292,62.7613494377343,20,38,3,707
36084.1823607427,60.7911140583554,8,12,0,126
36153.2939920708,132.661177188167,34,54,1,1087
36260.1330458885,948.681860178626,21,17,3,473
36424.9978155718,268.79341550944,51,83,10,1650
36574.2883627429,662.86888541434,50,28,5,662
36602.2621024914,400.395179258659,80,52,18,779
36804.7140835103,102.160651096957,22,52,4,1165
131.406398849645,1763.22872292622,17,86,8,1046
308.101949458484,1581.77451263538,38,46,1,884
326.630273871206,1210.06754256107,26,33,2,555
467.866592674806,1806.56714761376,8,17,4,262
581.910952380952,1749.34166666667,4,17,2,132
1545.90152134795,1438.06199901849,7,45,5,1179
2002.66000928936,1412.87598699489,9,22,3,644
2041.38336582196,1014.10038986355,4,24,15,879
2065.7736400146,1495.19605695509,12,16,0,698
2170.84949954504,1339.56360327571,49,43,17,839
2159.55055350553,1793.48216482165,25,37,11,793
2339.41507265413,1876.97463262458,165,78,21,1625
2389.73003802281,1759.54942965779,54,47,9,844
3118.23539412674,1723.02642967542,6,14,1,417
3472.57745504841,1359.23098201936,21,46,22,1238
3543.62551440329,1756.1133744856,33,23,15,500
3995.50298253089,1684.40924584576,11,33,3,460
4195.99462085719,1201.70362658338,31,82,8,1196
4273.62004504505,1761.82072072072,94,32,2,438
4568.19089950279,1196.61533825524,71,27,11,971
4630.01522916972,1402.70932786645,29,36,5,1181
4878.42648573333,1670.29205791482,110,54,8,1003
5172.73966942149,1272.6427390791,26,59,12,1304
