Xpos,Ypos,APCDD1,EGFR,MAP1B,GAPDH
2719.18764495045,1452.88909972591,109,34,11,736
3097.83051563821,1427.80779797126,260,189,11,1269
4314.82116964717,1461.40840985984,156,24,24,590
4703.33179149618,1412.19694004626,43,35,7,604
6471.02424910444,1592.30504271149,33,2,0,224
6582.51218335344,1533.12551266586,21,2,0,199
7998.60814831769,1749.00892652781,222,27,3,590
8332.01292775665,1455.11761723701,271,33,11,777
8427.10062893082,1479.8021726701,42,19,19,763
8450.2981540931,1561.50481540931,32,27,19,668
8562.52493219278,1830.47944919675,87,11,6,419
8750.14975845411,1196.69907407407,182,99,11,766
8866.03750744195,1608.87934113911,75,38,3,516
9119.98903951543,1105.59547158927,177,86,37,1402
9389.42621938671,1399.18295945668,44,22,3,80
9654.24222222222,1566.18155555556,38,24,2,199
9648.54630152456,1815.21936758893,94,39,29,348
9902.81471785922,1654.39412449098,53,36,9,215
10049.8607149146,1697.27768973411,160,70,5,317
10301.7908537864,1293.37906440109,66,21,5,416
10739.2203684393,1751.51616266945,15,14,8,196
11389.7716353111,1526.63270622287,25,33,8,345
11447.5201523326,1811.3684544589,73,27,8,275
11562.7961134119,1289.95794839121,49,16,22,356
11667.1806532663,1233.33291457286,111,23,7,884
11875.6420146637,1319.60153012432,55,19,7,224
12058.8854500178,1370.21522589826,5,13,2,208
12375.2389937107,1566.70473353194,3,30,5,672
12555.2575030012,1088.67962184874,4,7,0,87
12623.6828717949,1169.2278974359,4,4,1,185
15973.0358099063,1685.07228915663,14,18,1,275
16184.2864288096,1794.3784594865,25,9,3,320
16265.1674304919,1465.62297586312,34,46,8,776
16817.5840620032,1588.71482511924,14,35,4,570
16809.2734082397,1869.21993341656,12,45,7,494
17120.7524878255,1486.90366292611,33,53,9,764
17272.3783393502,1105.71985559567,127,67,66,1126
17435.0500971712,1331.23018786439,166,46,14,722
17934.9716535433,1175.66811023622,159,33,39,928
17942.4042739534,1015.02101944298,73,23,38,438
18466.8305555556,1532.89642857143,145,33,24,1026
18523.8699831366,1159.19629005059,280,53,25,971
18572.2925139665,1524.28245810056,62,22,9,507
19329.5422103862,1269.51131824234,43,58,3,658
19399.2218637313,1142.55570316948,104,46,17,763
19409.4705218618,1362.06488011283,53,57,21,598
19608.1309255079,1619.7571751048,11,14,22,344
19931.6105664488,1718.87227668845,29,6,14,452
19979.6133957153,1476.89780842157,18,11,3,75
20104.5079096045,1805.29519774011,57,26,18,722
20683.89491967,1256.52344767694,101,47,25,557
20773.254471891,1331.51128620102,135,59,19,1056
20994.2154186647,1628.68781507439,116,57,14,687
21540.2132540357,1240.62005097706,99,50,26,946
